LGA_Name,Beach_FID,Beach_Name,Width_B,Length_B,Patrolled_B,Width_S,Length_S,Patrolled_S,Close_S
Tweed,1,Duranbah / Flagstaff,100,630,Yes,100,630,Yes,No
Tweed,2,Little d'bah,10,70,No,10,70,No,No
Tweed,3,Letitia Spit,30,80,No,30,80,No,No
Tweed,4,Letitia ,100,1650,No,100,1650,No,No
Tweed,5,Fingal,100,1650,Yes,100,1650,Yes,No
Tweed,6,Dreamtime,25,1000,No,25,1000,No,No
Tweed,7,North Kingscliff,30,1000,Yes,30,1000,Yes,No
Tweed,8,Kingscliff / Cudgen,30,1200,Yes,30,1200,Yes,No
Tweed,9,South Kingscliff,40,1000,Yes,40,1000,Yes,No
Tweed,10,Salt,40,500,Yes,40,500,Yes,No
Tweed,11,Casuarina ,40,3000,Yes,40,3000,Yes,No
Tweed,12,Cotton,35,1000,No,35,1000,No,No
Tweed,13,Cabarita,40,2500,Yes,40,2500,Yes,No
Tweed,14,Norries Head,80,200,No,80,200,No,No
Tweed,15,Maggies,120,2500,No,120,2500,No,No
Tweed,16,Hastings Point ,40,350,Yes,40,350,Yes,No
Tweed,17,Cudgera,140,2925,No,140,2925,No,No
Tweed,18,Pottsville North,100,245,Yes,100,245,Yes,No
Tweed,19,Mooball,80,13000,Yes,80,13000,Yes,No
Tweed,20,Wooyung,100,2630,No,100,2630,No,No
Byron,21,Crabbes Creek,110,3150,No,110,3150,No,No
Byron,22,South Golden ,100,1000,Yes,100,1000,Yes,No
Byron,23,New Brighton  / Ocean Shores,100,4500,No,100,4500,No,No
Byron,24,Harrys Hill,15,100,No,15,100,No,No
Byron,25,Torakina,11,80,No,11,80,No,No
Byron,26,Brunswick Heads,120,10600,Yes,120,10600,Yes,No
Byron,27,Tyagarah,25,2000,Yes,25,2000,Yes,No
Byron,28,Little Wategos,15,150,No,15,150,No,No
Byron,29,Wategos,40,575,Yes,40,575,Yes,No
Byron,30,The Pass,50,800,Yes,50,800,Yes,No
Byron,31,Belongil,180,2500,Yes,180,2500,Yes,No
Byron,32,Main (Byron Bay),90,800,Yes,90,800,Yes,No
Byron,33,Clarks,50,1400,Yes,50,1400,Yes,No
Byron,34,Tallows,150,2500,Yes,150,2500,Yes,No
Byron,35,Suffolk Park,150,3000,Yes,150,3000,Yes,No
Byron,36,Broken Head ,150,1000,Yes,150,1000,Yes,No
