ID,Column1,Beach,LGA,New Count,CONF,Patrolled,Iconic,Main,National_Park,Open_Coast,Surf,Bay,Length (m),Mean Width (m),Latitude,Longitude,Changing room,Restaurant,Park
1,OEH001,Duranbah / Flagstaff,Tweed,178799.6268,A,1,0,0,0,0,1,0,630,100,-28.167682,153.551189,1,1,1
2,,Little d'bah,Tweed,,,0,0,0,0,0,0,1,70,10,-28.16867547,153.5515404,0,0,0
3,OEH004,Letitia Spit,Tweed,,,0,0,0,0,0,0,1,80,30,-28.171878,153.555014,0,0,0
4,OEH005,Letitia ,Tweed,,,0,0,0,0,0,1,0,1650,100,-28.17782546,153.558019,0,0,0
5,OEH006,Fingal,Tweed,109282.4162,A,1,0,1,0,0,0,0,1650,100,-28.196796,153.566623,1,1,1
6,OEH007,Dreamtime,Tweed,,,0,0,1,0,0,0,0,1000,25,-28.22087,153.56638,0,0,0
7,OEH008,North Kingscliff,Tweed,68668.09815,B,1,0,0,0,0,1,0,1000,30,-28.24019,153.56869,0,0,0
8,,Kingscliff / Cudgen,Tweed,134687.2448,C,1,0,1,0,0,0,0,1200,30,-28.255998,153.57845,0,0,0
9,OEH009,South Kingscliff,Tweed,136163.6768,A,1,0,0,0,1,0,0,1000,40,-28.27184649,153.5819491,0,0,0
10,OEH010,Salt,Tweed,94493.90228,A,1,0,1,0,0,0,0,500,40,-28.277096,153.578945,1,1,1
11,,Casuarina ,Tweed,64862.72766,B,1,0,1,0,0,0,0,3000,40,-28.304516,153.572817,0,0,0
12,OEH012,Cotton,Tweed,,,0,0,1,0,0,0,0,1000,35,-28.31396053,153.5708003,0,0,0
13,OEH013,Cabarita,Tweed,122438.545,A,1,0,1,0,0,0,0,2500,40,-28.331874,153.570684,0,0,0
14,OEH014,Norries Head,Tweed,,,0,0,1,0,0,0,0,200,80,-28.33583,153.57624,0,1,1
15,OEH015,Maggies,Tweed,,,0,0,0,0,0,1,0,2500,120,-28.34835,153.57565,1,0,1
16,OEH017,Hastings Point ,Tweed,98316.09233,B,1,0,1,0,0,0,0,350,40,-28.36073,153.5778,1,0,1
17,OEH016,Cudgera,Tweed,,,0,0,0,0,0,1,0,2925,140,-28.37505,153.57446,0,0,0
18,OEH018,Pottsville North,Tweed,70402.789,B,1,0,1,0,0,0,0,245,100,-28.39736,153.56816,0,0,0
19,OEH020,Mooball,Tweed,65167.20383,B,1,0,0,0,0,1,0,13000,80,-28.406542,153.564978,0,1,0
20,,Wooyung,Tweed,,,0,0,0,0,0,1,0,2630,100,-28.45639,153.55389,0,1,0
21,OEH021,Crabbes Creek,Byron,,,0,0,1,0,0,0,0,3150,110,-28.4857,153.551985,0,0,0
22,OEH023,South Golden ,Byron,113822.8071,B,1,0,1,0,0,0,0,1000,100,-28.49725,153.550804,0,0,0
23,OEH022,New Brighton  / Ocean Shores,Byron,,,0,0,1,0,0,0,0,4500,100,-28.51083,153.55167,0,0,0
24,OEH024,Harrys Hill,Byron,,,0,0,1,0,0,0,0,100,15,-28.53663,153.55407,0,0,0
25,OEH025,Torakina,Byron,,,0,0,1,0,0,0,0,80,11,-28.53671596,153.5556176,0,0,0
26,OEH031,Brunswick Heads,Byron,114181.0667,A,1,0,1,0,0,0,0,10600,120,-28.541786,153.555688,1,1,1
27,OEH027,Tyagarah,Byron,67299.93387,B,1,0,1,0,0,0,0,2000,25,-28.604426,153.576142,0,0,0
28,OEH029,Little Wategos,Byron,,,0,1,0,0,0,0,0,150,15,-28.63409,153.6374,1,0,1
29,OEH026,Wategos,Byron,351559.6932,B,1,1,0,0,0,0,0,575,40,-28.63638,153.63398,1,0,1
30,OEH030,The Pass,Byron,297699.967,B,1,0,0,0,0,1,0,800,50,-28.63794,153.62813,1,1,1
31,OEH028,Belongil,Byron,351687.0354,B,1,0,1,0,0,0,0,2500,180,-28.639813,153.610669,0,0,0
32,OEH032,Main (Byron Bay),Byron,768318.4428,A,1,1,0,0,0,0,0,800,90,-28.64083,153.61556,1,1,1
33,OEH033,Clarks,Byron,,,1,1,0,0,0,0,0,1400,50,-28.64171,153.62103,1,1,1
34,OEH034,Tallows,Byron,135605.1623,B,1,0,0,0,0,1,0,2500,150,-28.64528,153.63167,1,0,0
35,OEH035,Suffolk Park,Byron,130018.6497,B,1,0,0,0,0,1,0,3000,150,-28.68806,153.61472,1,0,0
36,OEH036,Broken Head ,Byron,146480.5963,B,1,0,0,0,0,1,0,1000,150,-28.704839,153.614595,1,1,1
