LGA,2023_household_LGA,2023_household_NSW
Ballina,19915.81963,3146612.709
Bayside,65267.93774,3146612.709
Bega Valley,15834.06271,3146612.709
Bellingen,5736.536276,3146612.709
Byron,15357.04917,3146612.709
Canada Bay,39155.95495,3146612.709
Central Coast,140829.4713,3146612.709
Clarence Valley,22521.14288,3146612.709
Coffs Harbour,32299.64705,3146612.709
Eurobodalla,18480.3842,3146612.709
Kempsey,12518.11161,3146612.709
Kiama,9771.773263,3146612.709
Lake Macquarie,84387.02951,3146612.709
Mid-Coast,43334.00975,3146612.709
Mosman,13285.30894,3146612.709
Nambucca Valley,8882.130942,3146612.709
Newcastle,70315.44043,3146612.709
Northern Beaches,104583.6536,3146612.709
Port Macquarie-Hastings,38134.18157,3146612.709
Port Stephens,31782.80881,3146612.709
Randwick,61017.84991,3146612.709
Richmond Valley,9996.271847,3146612.709
Shellharbour,29045.97209,3146612.709
Shoalhaven,47737.96982,3146612.709
Sutherland,88368.35599,3146612.709
Tweed,42590.1877,3146612.709
Waverley,30850.38844,3146612.709
Wollongong,87764.35346,3146612.709
Woollahra,25806.45432,3146612.709
