LGA_Name,Total population 2023,SEIFA
Albury,57170.85927,962
Armidale,29316.87213,982.3
Ballina,46339.25746,996.8
Balranald,2225.773894,938.3
Bathurst,45332.35347,982.5
Bayside,169149.304,1111
Bega Valley,34948.46885,967
Bellingen,13174.66835,971.3
Berrigan,8809.274405,949.5
Blacktown,384210.0414,989.5
Bland,6001.599805,970.3
Blayney,7358.181185,977.8
Blue Mountains,79445.60558,1049
Bogan,2412.477474,951
Bourke,2486.247247,941
Brewarrina,1469.252309,821.5
Broken Hill,16324.86993,900.3
Burwood,42759.5677,1013.3
Byron,36558.45632,1012
Cabonne,13969.76173,1010.3
Camden,110819.8458,1054.8
Campbelltown (NSW),176208.9703,951.8
Canada Bay,98012.33708,1078.8
Canterbury-Bankstown,383079.7645,954.8
Carrathool,2745.653703,971
Central Coast (NSW),351527.409,983.8
Central Darling,1753.603233,864.5
Cessnock,65091.18281,918.8
Clarence Valley,52046.781,926.3
Cobar,4147.619225,956.5
Coffs Harbour,78642.78236,963.8
Coolamon,4432.700839,978.8
Coonamble,3812.408136,899
Gundagai,11108.04662,941.5
Cowra,13013.3348,926.8
Cumberland,245449.5409,948
Dubbo,55128.11779,964.3
Dungog,10307.05483,987
Edward River,9047.159836,953.3
Eurobodalla,39851.88636,955
Fairfield,211489.6255,894.3
Federation,12648.69163,949.3
Forbes,10216.08456,951.5
Georges River,155134.8921,1027.8
Gilgandra,4089.51176,925.3
Glen Innes Severn,8902.732972,925.5
Goulburn Mulwaree,32527.18201,957
Greater Hume,11076.67294,986.5
Griffith,27060.30579,949
Gunnedah,12749.90801,953.3
Gwydir,5338.188347,954.3
Hawkesbury,67266.80071,1019.8
Hay,2827.812403,936.3
Hilltops,18719.52466,947.8
Hornsby,152302.8415,1103
Hunters Hill,14909.7399,1122.8
Inner West,196906.3921,1067
Inverell,17745.61833,922.3
Junee,6809.801454,941.8
Kempsey,30089.0795,897.8
Kiama,24433.59364,1060
Ku-ring-gai,127789.3339,1147.3
Kyogle,8508.487808,926
Lachlan,5941.315684,936
Lake Macquarie,212115.9086,986.8
Lane Cove,41747.81241,1126.5
Leeton,11268.4615,945.3
Lismore,43213.53566,954.5
Lithgow,21481.12233,919.3
Liverpool,235309.6038,971.3
Liverpool Plains,7777.033683,922
Lockhart,3390.558049,988.5
Maitland,94644.74577,973.8
Mid-Coast,96464.69755,928.3
Mid-Western,25806.08909,954.5
Moree Plains,13432.57145,927.3
Mosman,30792.69322,1136
Murray River,12655.16938,982.8
Murrumbidgee,3877.865451,959.5
Muswellbrook,16526.29392,923.5
Nambucca Valley,19880.97203,915
Narrabri,12954.83495,949.8
Narrandera,5706.773583,933.8
Narromine,6139.628728,941.3
Newcastle,168583.8314,994.5
North Sydney,75372.91541,1116.3
Northern Beaches,274296.5634,1104.3
Oberon,5429.387788,965.5
Orange,43769.34998,975
Parkes,14612.13809,940.3
Parramatta,264173.6741,1043.8
Penrith,216726.5133,989.3
Port Macquarie-Hastings,87813.75111,971
Port Stephens,76926.92786,969.8
Queanbeyan-Palerang,64442.99788,1053.5
Randwick,152885.1331,1062.8
Richmond Valley,23731.19681,903
Ryde,134013.3609,1066
Shellharbour,78031.54917,966.3
Shoalhaven,111576.0117,960
Singleton,23205.72807,978.8
Snowy Monaro,21222.71192,996.3
Snowy Valleys,14313.21778,947.5
Strathfield,48485.4155,1036.8
Sutherland,234728.7927,1079.5
Sydney,229161.9162,1038.5
Tamworth,63439.36356,958
Temora,6332.422869,960
Tenterfield,6258.435135,922.3
The Hills,186556.6769,1120
Tweed,100329.8516,968.3
Upper Hunter,14023.52291,967.5
Upper Lachlan,8489.902198,1003.5
Uralla,5810.492601,984.3
Wagga Wagga,66256.03987,985
Walcha,3020.576535,986
Walgett,5571.558111,869.8
Warren,2580.11365,956.5
Warrumbungle,8925.70157,930.3
Waverley,71411.60625,1101.5
Weddin,3602.15423,968.5
Wentworth,7107.156224,956.8
Willoughby,80489.20025,1103.8
Wingecarribee,53648.52761,1031.8
Wollondilly,54709.3017,1036.5
Wollongong,222603.5948,990
Woollahra,58216.63303,1131.8
Yass Valley,17783.83088,1067.8
Unincorporated NSW,906.416481,1037.8
