LGA,internationa,intrastate,interstate
Ballina,740.0683737,99.41569314,747.5905186
Bayside,2678.279419,119.472339,884.0936449
Bega,396.115688,160.7046549,727.2461489
Bellingen,291.6321341,101.1124671,513.3880017
Byron,547.6342571,112.2692836,777.9128745
Canada Bay,2678.279419,119.472339,884.0936449
Central Coast,1084.963956,92.05628481,441.4703415
Clarence,283.8953516,103.7826624,502.0938826
Coffs Harbour,497.0662719,172.1951535,584.6805589
Eurobodalla,413.8763147,114.7688693,500.5317412
Jervis Bay Territory,1302.630876,126.2915874,566.6507198
Kempsey,302.2725169,103.8526208,484.6530543
Kiama,570.9978961,85.36953146,406.9164203
Lake Macquarie,985.5931252,105.9593218,307.230082
Mid Coast,488.3028651,114.8247108,509.0260143
Mosman,2678.279419,119.472339,884.0936449
Nambucca,344.5852522,94.09387489,502.9198318
Newcastle,1651.348806,128.1950872,395.3347061
Northern Beaches,2678.279419,119.472339,884.0936449
Port Macquarie-Hasting,306.371058,133.7516646,597.2903465
Port Stephens,336.8925666,104.227734,764.769006
Randwick,2678.279419,119.472339,884.0936449
Richmond Valley,555.4913948,89.58920552,438.4565547
Shellharbour,1181.343553,138.8808339,562.8575455
Shoalhaven,668.7197584,115.8894692,469.5538286
Sutherland,2678.279419,119.472339,884.0936449
Tweed,713.7733697,100.8331018,523.8381579
Waverley,2678.279419,119.472339,884.0936449
Wollongong,3175.389878,93.43014754,357.2965396
Woollahra,2678.279419,119.472339,884.0936449
