Beach_FID,alpha_1
1,-6.157067452892395
2,-5.634544344133061
3,-5.772771863200248
4,-6.302990692481948
5,-6.5524191064523025
6,-5.252643529328683
7,-5.380700507661464
8,-4.9686851398830205
9,-4.656701279794783
10,-5.938228859053667
11,-5.465931156575908
12,-5.372911569905424
13,-4.8549973088088105
14,-6.128022343557145
15,-7.314756486599221
16,-5.78539628255409
17,-6.841104495592177
18,-6.244355721294584
19,-6.379681128763687
20,-6.91318788167003
21,-6.207611182498892
22,-5.935660516445314
23,-6.265004690127263
24,-5.367085293335583
25,-5.340261865412178
26,-7.086195397362241
27,-5.5138796100266685
28,-4.717645255990004
29,-4.799266925723412
30,-5.380973382599019
31,-5.822157945407803
32,-4.939239801472474
33,-5.0054774950873835
34,-6.91466183150176
35,-6.916946083949519
36,-7.304273611411518
37,-5.919999530724199
38,-6.119620912485514
39,-6.352718140845658
40,-6.0449055156030616
41,-5.829778568486155
42,-6.1341892279693635
43,-5.893427147928579
44,-5.657397756625318
45,-5.4787298026681475
46,-5.595955714895532
47,-5.96005405064354
48,-7.740916862670883
49,-7.107794096936497
50,-6.512808587512396
51,-6.58001902195326
52,-6.88578540731231
53,-7.4361960869841015
54,-7.152484414062994
55,-6.939722099562764
56,-6.531649263375008
57,-5.87480618399164
58,-6.244930011094205
59,-6.322055075498602
60,-5.975438943524513
61,-7.106891622888101
62,-7.0395103364820475
63,-6.501041548251044
64,-6.55510484755595
65,-6.168403748922476
66,-4.845836442117302
67,-6.708907353649037
68,-5.302587902073217
69,-5.278905747688429
70,-7.16864395582885
71,-5.283679127914215
72,-5.092422270494436
73,-6.214759897081682
74,-4.905757521388025
75,-5.914364111712831
76,-5.608864745645218
77,-3.600121333710131
78,-4.058738902815185
79,-6.0169432528796705
80,-5.142242686416222
81,-5.789034697414225
82,-5.618446267004349
83,-6.735268316146072
84,-5.741608703099553
85,-5.9817783053809315
86,-6.650474395273824
87,-4.897628469314271
88,-4.9421595855101925
89,-5.029600064595468
90,-4.946688898682807
91,-6.798258070046426
92,-5.166561849429978
93,-4.711485719029073
94,-6.2431012587810235
95,-4.80367517899598
96,-3.671929525856873
97,-3.8050595048382507
98,-3.7701702277975513
99,-5.3856179764553165
100,-5.03200074924794
101,-5.635688318735256
102,-4.962941614882344
103,-5.355010289031752
104,-6.247783272480693
105,-5.41598348392769
106,-4.669363025943939
107,-4.81253879190619
108,-4.9976338384325105
109,-5.153109724383399
110,-5.6740064093220575
111,-5.179099185393476
112,-6.5514758578239105
113,-5.639348152758309
114,-6.072959483750558
115,-5.702870377412858
116,-5.969144105187324
117,-6.264603163252784
118,-5.707168048960852
119,-4.728704868560151
120,-6.31533964027155
121,-4.78713747516118
122,-5.242093584868265
123,-5.383728924217836
124,-5.948434759882618
125,-5.0925404159646295
126,-5.333171019175703
127,-4.549167471669919
128,-6.235444900539014
129,-5.4852141447190625
130,-3.986159395204889
131,-3.7654614959954977
132,-4.018076031824423
133,-3.9447886369728042
134,-4.514622218601879
135,-5.3618805817664805
136,-5.174011097231996
137,-4.804417557555245
138,-4.586914507298753
139,-4.4034038210013415
140,-4.729620683269326
141,-5.350721547807107
142,-5.6572749876082105
143,-4.320232489151881
144,-5.562608554381482
145,-4.408548564123037
146,-5.529610699507805
147,-5.852176398402244
148,-4.026825994158086
149,-6.176451118195121
150,-3.6798202844012065
151,-4.983454949128194
152,-4.19485482727177
153,-5.468503727528008
154,-3.848022709898189
155,-4.624022359468722
156,-5.492301589126775
157,-3.5438348991119755
158,-4.700385396985373
159,-4.177329006294825
160,-5.036382198444186
161,-4.746797760802032
162,-5.34805904503376
163,-3.6702837076767763
164,-3.4831177238512785
165,-4.182668506296925
166,-5.917546304690016
167,-4.061453207648137
168,-3.1745812206468953
169,-3.023916506174916
170,-4.840251191170582
171,-3.1976783188194715
172,-4.6906041460676855
173,-2.8600723447692245
174,-3.7758883286727745
175,-4.093063925024863
176,-4.772133672726336
177,-5.581238826350858
178,-4.958913464567325
179,-4.573067730626811
180,-3.8902361629052145
181,-3.783051610512789
182,-3.6819547298429396
183,-3.180287715134865
184,-4.962561873868811
185,-4.018658586241225
186,-2.8668532398946147
187,-4.496973800993959
188,-4.606813031506805
189,-4.8015990580127905
190,-3.944660131817447
191,-4.253851485401047
192,-3.5936870702971513
193,-4.072852038452339
194,-4.600983032539516
195,-3.2057308456114315
196,-1.901074471328383
197,-2.8653488288873135
198,-2.4928980518157817
199,-2.418771669504976
200,-3.208218629011766
201,-3.8199649104896016
202,-2.0530619665083534
203,-2.2070757086930404
204,-2.243489056417787
205,-2.128984258458369
206,-4.694579934498566
207,-3.0660457586216663
208,-3.196919766728734
209,-3.0221620023935043
210,-3.4322713147749964
211,-2.9575869220336077
212,-3.1800409183825695
213,-3.7693966823676517
214,-3.882019198471104
215,-4.012629658174841
216,-2.3822395799148692
217,-1.8732376642199664
218,-4.461583827250327
219,-3.9902924547151044
220,-4.783249224927283
221,-3.467533784756695
222,-4.489909974897802
223,-4.760210318767751
224,-2.965555270380383
225,-2.9084697702496363
226,-4.317995926715129
227,-2.36855531338503
228,-2.80351861679411
229,-3.7434591830052906
230,-2.464735573614825
231,-3.1317643170655796
232,-3.4130124117603855
233,-3.244670370861964
234,-1.7423336715686704
235,-3.1563745356454183
236,-2.621094315091842
237,-3.7098500517543247
238,-2.338794907755272
239,-2.6118235392378213
240,-2.21735737123342
241,-2.278254851920898
242,-2.547803764879132
243,-4.28913824402208
244,-2.1946656681578696
245,-2.6087148599641616
246,-2.9948832878053224
247,-2.4378206076292956
248,-3.0492720980481574
249,-2.607217438778034
250,-2.4236532733368956
251,-2.4952411563180203
252,-2.2990891758468415
253,-2.1740306625750505
254,-2.132284496544456
255,-3.0474789852830244
256,-2.642301717453645
257,-1.6675396095991168
258,-2.9851967634880308
259,-3.602495629854593
260,-4.861264814425723
261,-2.76739748874256
262,-4.502505034533939
263,-0.23474485871967538
264,-1.803000943569468
265,-1.6453874459466542
266,-1.3465904815123737
267,-1.3228037014844443
268,-1.3077395630127107
269,-1.3870727326102927
270,-1.3157769974385538
271,-0.9416097970400582
272,-1.3019854163108022
273,-1.2675402494231829
274,-1.9156866486075121
275,-1.2841662635189384
276,-1.3613076010233713
277,-1.3835310371034977
278,-1.9004037567862933
279,-1.9674494819554886
280,-2.000035801944506
281,-0.5515390103375674
282,-1.8491107980200143
283,-2.4247619184737363
284,-1.2186035354800566
285,-0.2227549166024129
286,-1.4995518125951528
287,-1.5231905043190874
288,-1.3917909526056367
289,-0.9494775582577344
290,-2.134594986155887
291,-1.4148971705573055
292,-1.1098903411165597
293,-1.3369454431115175
294,0.6292746531374551
295,-1.1416632588423645
296,-0.17851364635785022
297,0.17417191714066704
298,-1.1264806371395362
299,-0.15134264673853948
300,-0.5980682138523281
301,-0.31844454897860985
302,-1.1166992227432857
303,-1.4635966977961963
304,-0.38104947065054384
305,-1.4763976531785237
306,-0.2689208570405323
307,-2.9290852974136135
308,-1.5731524967940629
309,0.03566995654754679
310,-1.2861302237585073
311,-1.5199353067766372
312,-0.4494759860721659
313,-0.4230374803115225
314,-0.3025889617097669
315,-1.4726811881461912
316,-1.3363454043731295
317,-1.1981838262733697
318,-2.1019577200258466
319,-1.2028939104647642
320,-1.1313060274836404
321,-1.1212226783458181
322,-1.5744003633125006
323,-1.0088065427046233
324,-1.0060559384784242
325,-1.4893907696959134
326,-1.489113393024356
327,-2.19549063720817
328,-1.4324153816321215
329,-0.7828829990350046
330,-1.2020900653359667
331,-1.777760884146216
332,-1.2951251322880706
333,-1.225862313166046
334,-1.1270035512757626
335,-0.1599250507208715
336,-2.175507422883426
337,-1.0035729357582401
338,-2.9117012476259343
339,-0.2538670370867824
340,-1.0364456417292298
341,-1.0645724304702824
342,-0.25688279591279184
343,-1.5010787688120826
344,-0.9990320760799978
345,-1.3097291336949202
346,-1.3687898735333248
347,-1.3889721025687845
348,-2.171433117260455
349,-0.5833308513270485
350,-2.03644482394602
351,-1.2576663990170962
352,0.13923580570106062
353,-0.8314681699940162
354,-0.2931382963489577
355,-1.9043998496759136
356,-1.853839083285872
357,-0.827831087805932
358,0.05645015514326927
359,-1.5438215079687745
360,-1.297962564282211
361,-0.826298413803426
362,-1.60726454486335
363,-1.64035842651008
364,-1.1361149601778535
365,-0.912733248779605
366,-2.0995340896169306
367,-0.8528882690095682
368,-0.8636565951523393
369,-0.901640178128889
370,-0.5273430951175131
371,0.5537262087826252
372,-0.4831643731048771
373,-0.4092869389217346
374,-0.5707856855266035
375,-0.4659833500111459
376,-2.033553212887357
377,-0.432750808206974
378,-0.5937214349675867
379,-0.5002551310751722
380,-0.48693837338796014
381,-0.5121322213226768
382,-0.46004650461353147
383,-0.4168164107308334
384,-2.4670500361604013
385,-0.4712431057319308
386,-0.4237124965188673
387,-0.48397215370393454
388,-0.46113448999665896
389,-1.3998020932264175
390,-1.7871174822444391
391,-1.1727893330755572
392,-2.738736038962662
393,-0.6986859491101002
394,-1.571482430527415
395,-1.759059494912824
396,-1.078916915417094
397,-1.3446534810861588
398,-2.83111666819033
399,-2.8063343941564844
400,-0.849717918257754
401,-0.9671895257886468
402,-0.7293269882739463
403,-0.47051526300490115
404,-1.0318521895131496
405,-0.34940761569545353
406,-1.0664492072802365
407,-1.88913651389475
408,-2.3360350916492485
409,-0.6666791233928091
410,-0.6308240585439425
411,-0.3921405235027685
412,-0.49695359721754817
413,-0.3954180531555196
414,3.5377045216840046
415,-0.4299843588681431
416,-0.41477942558996755
417,-0.8791589249189649
418,-0.4992360361985862
419,0.189447715887185
420,-0.41621546757929795
421,-0.4464139839805221
422,-0.2697282236773481
423,-0.506219267415891
424,-0.5418905428209358
425,-0.37656199794313533
426,-0.4701580167892521
427,-0.3698292642397396
428,-0.4123384434685559
429,-0.24827672771871684
430,-0.3732104063529275
431,1.4013381389198263
432,0.3131445303719064
433,-0.19749298834859352
434,1.5606486116483178
435,-0.2198193009722097
436,-0.12147895528665625
437,-0.21954509057772922
438,-0.13272222402038852
439,-0.20546771137455697
440,-0.18009076379487413
441,-0.18066818246581134
442,1.7748258052155188
443,-0.2373162339095288
444,-0.08202995828597899
445,-0.2136464817147244
446,-0.1350798620835487
447,-0.2114230995449853
448,-0.12598962217719498
449,-0.11110946241023766
450,-0.7565496383081918
451,-0.11899743125978322
452,-0.3041108727383878
453,-0.14906241026394532
454,-0.3055818310909516
455,-0.03526774291684118
456,-0.7688400365424914
457,-0.3603954506490498
458,-0.09952743010764824
459,-0.037725493746688724
460,0.020841852578620635
461,0.15384368566891973
462,-0.02751510393089401
463,0.0304448460653824
464,0.006214585353151729
465,0.05795804117305044
466,0.6674440283237288
467,3.838899983062437
468,-0.837782366986695
469,-0.39234651671532245
470,0.17905388868122127
471,-0.6727814952482022
472,0.5301158873969753
473,-1.0911869278309478
474,0.5651632251856125
475,-1.1799369232122652
476,-1.8203334629054395
477,-1.0448074712649855
478,0.5491980460101797
479,-1.7292475730800403
480,-1.2844846173680586
481,-0.8698169428583374
482,-0.860035773202992
483,-0.8744446693170185
484,-0.7412318630255121
485,-0.7149824975343403
486,-1.1714614654578537
487,-1.3561988758773968
488,-0.780391709799045
489,-1.541093364566223
490,-1.163627754951683
491,-0.827539611872972
492,-0.8756384442807595
493,-1.2723577168531324
494,-0.8513207708728745
495,-1.1460949829726268
496,-1.0162803506984155
497,-0.8165266662171696
498,-0.8135855499852715
499,-0.7539719493287269
500,-1.2900431623645054
501,-0.9232768209881341
502,0.6505341528737048
503,0.060264017821700176
504,0.5704030771416774
505,0.4628689577244583
506,-0.8893458067135995
507,-0.7978511831691978
508,-1.7788122404403874
509,-0.786742286619308
510,-0.802949024552331
511,-1.4555494993562115
512,-1.024659103894568
513,-0.8905660339306938
514,-0.6532456041722432
515,-0.7313425731844522
516,-0.8579876054975192
517,-1.0265388405332072
518,-0.8210978393307949
519,-2.0764422640779436
520,-2.0146022393414365
521,-1.121467910046919
522,-1.6546143310859776
523,-1.395733249141859
524,-1.0273910285066836
525,-1.1743986347983886
526,-1.054630146372349
527,-1.0373415816231
528,-2.375431497028545
529,-0.11618930055310933
530,-2.582130635327287
531,-0.1687367462523926
532,-2.5518968872996983
533,-1.693936445049026
534,-2.912658079632789
535,-1.2092345930626052
536,-0.11472103669952699
537,-1.429148202725256
538,-1.3596849152842643
539,-1.718968116018532
540,-1.5616080037026951
541,-1.6746718969389438
542,-1.5433319155279592
543,-2.6348327862787735
544,-2.1265176171108573
545,-0.4290633787793404
546,-2.10480490533861
547,-1.7430135215813873
548,-2.8777679284922573
549,-2.2749387530114644
550,-1.9947755536488443
551,-1.0840835896626897
552,-1.6966528149599953
553,-2.0839271313485535
554,-1.13146362643086
555,-0.9207368876660672
556,-0.9079448763039567
557,-1.1236590108028413
558,-1.9801611023954417
559,-1.4307414271258436
560,-3.491943651339531
561,-0.663879287163284
562,-1.8665506119302673
563,-0.540945527265856
564,-1.2513372590765512
565,-2.3036272940605276
566,-0.6807640292832466
567,-1.0621785625372258
568,-1.3500517379892707
569,-1.0876746470787255
570,-1.2172561109887496
571,0.15039621370258136
572,-1.620540653969562
573,-3.107689242864153
574,-0.8971950576618472
575,-1.1043279275556694
576,-1.3014292571728932
577,-1.0505938026928507
578,-1.0732123633253194
579,-1.1282898113789261
580,0.11033342800818867
581,-1.8032487048755717
582,-0.81156241911263
583,-0.9585880518152847
584,-1.8036919477458477
585,-2.449821186638049
586,-1.8873064615230373
587,-3.0059788399724305
588,-1.739159308048046
589,-0.4511818027714223
590,-2.6145049851105773
591,-2.8386319530622113
592,-1.5746103485692555
593,-1.191309719932614
594,-1.837209689033939
595,-1.2416932402112009
596,0.18105315956698095
597,0.1848178410221193
598,-1.7647637192142012
599,-0.8802474071127205
600,-2.3916971023449247
601,-0.7822908483795418
602,-1.5856900900105078
603,-1.0667123819656525
604,-0.4839519238099229
605,-1.3628324157945728
606,-1.2405298180742128
607,-1.3428048168547133
608,-1.697618261451093
609,-0.6744639123066748
610,-0.5937731390591056
611,-0.9415718707855888
612,-0.44430966673314737
613,-0.44068621619505693
614,-1.7124706737705004
615,-0.6131083407396597
616,-0.5605523840734111
617,-1.4392323780218887
618,-1.7545489764281736
619,-0.8783659270971831
620,-0.9021273295600024
621,0.4186607252747824
622,-0.40546970967400164
623,-0.6528247817074068
624,-0.7204014711463236
625,-0.6413684255605616
626,-0.6261242675672019
627,-0.6800704193617109
628,-0.6904435654317825
629,-0.871806682397838
630,-1.166666076358489
631,-0.8568203784198635
632,-0.6719694745458059
633,-0.7962410897402299
634,-0.6145213470999926
635,-0.5837883739543255
636,-0.585068444051094
637,-0.6127096218309472
638,0.3543564960045522
639,0.15849931810505297
640,-0.6203652939968011
641,-2.1403226234527564
642,-0.5658756581041933
643,0.5152913468026558
644,-1.272954663499192
645,-1.0330044415027633
646,-0.6145708256139875
647,0.3111466875832204
648,-0.8979505569887349
649,-0.9668006883460862
650,0.022921191174621474
651,0.5695002231540529
652,-1.6033466294808307
653,-1.4986103489812395
654,-1.000823737744564
655,-1.2403632377620826
656,-0.8181551605437593
657,-0.6284504909231728
658,-0.2472874726881071
659,1.1421455042933186
660,0.12772723684831372
661,-0.6664420974102577
662,-0.3355897901763205
663,-0.3492520307362892
664,-0.3603923428794259
665,-1.137748103526737
666,-0.39121836641037205
667,-0.36147427588892594
668,-0.303225716978415
669,-1.3052973912312105
670,-0.5300956473908865
671,-0.5837437572542231
672,-1.554530690790858
673,-1.3684285186633685
674,-1.7885202228623345
675,-1.4600898276463752
676,-0.5143415901177348
677,-0.5814001599262448
678,-0.8445636827618908
679,-0.6536443084832616
680,-0.1689877362994905
681,-0.6850213840143181
682,-0.9504090513360914
683,-0.9669494311388639
684,-0.4301478520209194
685,-0.5270548608502159
686,-0.27235978662115684
687,-0.34715122059442377
688,-0.6849558501738672
689,-0.4133283805725458
690,-0.8210809104543851
691,-1.4764298251497627
692,-0.128697602228814
693,-0.6519600371803327
694,-0.5292097501000794
695,-0.2256220932658362
696,-0.3416219801923947
697,-0.10673581333570482
698,-0.4308865519736233
699,-0.2075048405753766
700,-0.3506806065376256
701,-0.18529883860265792
702,-0.23664836470561262
703,-0.1779992208465839
704,-0.21086801059533988
705,-1.3421793242984328
706,-1.0530120849730638
707,-0.41708129348416817
708,-0.8326181700466717
709,-1.6959770214721321
710,-1.0632808697367035
