Beach_FID,alpha_2
1,-6.417323743365473
2,-5.894800629624882
3,-6.033028491543175
4,-6.563247296018013
5,-6.812675714590211
6,-5.512899814814349
7,-5.640957136418146
8,-5.233929922472374
9,-4.921946037107248
10,-6.203473641643022
11,-5.697018305610613
12,-5.598375394490262
13,-5.066926218536411
14,-6.3313693229321535
15,-7.507605240053463
16,-5.969165017510057
17,-7.022381751321994
18,-6.425632997652399
19,-6.560958410076119
20,-7.0794951698899355
21,-6.331889631581115
22,-6.059938965527534
23,-6.3900780028875825
24,-5.472585062867565
25,-5.44576163494416
26,-7.191695166894222
27,-5.601351550182988
28,-4.787412539368734
29,-4.869034204049045
30,-5.450740635656679
31,-5.89224560043683
32,-5.0093277330727926
33,-5.075245024414355
34,-6.984429360829384
35,-6.9918277824002555
36,-7.379840917511416
37,-5.9955668411334475
38,-6.195188463735696
39,-6.428285446945843
40,-6.120473067384595
41,-5.900352562085092
42,-6.209572939293887
43,-5.969393867866326
44,-5.735606156601576
45,-5.556938431652712
46,-5.674782027845451
47,-6.03869976882265
48,-7.819562318540045
49,-7.187348529102425
50,-6.592824387888672
51,-6.659479899211869
52,-6.963506681068595
53,-7.512073789838188
54,-7.227189752362375
55,-7.01442713049384
56,-6.6060193351853895
57,-5.949176269159056
58,-6.319300327629967
59,-6.396425413761742
60,-6.049809281787653
61,-7.181261961151241
62,-7.114259380420504
63,-6.572169045746794
64,-6.626232300232059
65,-6.239531228231506
66,-4.916963932495154
67,-6.780034806267203
68,-5.373715381379607
69,-5.350033200367531
70,-7.239624631298673
71,-5.354659841075431
72,-5.163402986312987
73,-6.28574061024283
74,-4.976738237206576
75,-5.985344579941878
76,-5.679845486191982
77,-3.671102046871279
78,-4.129719615976402
79,-6.087923928349493
80,-5.213223357458581
81,-5.860015368456584
82,-5.689299741808726
83,-6.8061217909504474
84,-5.8124622033801145
85,-6.0526315810861195
86,-6.721327670923108
87,-4.96848194410424
88,-5.013013106112558
89,-5.100453585197833
90,-5.0175424192851725
91,-6.8529852394156485
92,-5.221289023403378
93,-4.766212734159242
94,-6.297828470677398
95,-4.85840235301337
96,-3.726656721478117
97,-3.8597866786017203
98,-3.8248974017709423
99,-5.44034515021872
100,-5.086727937895619
101,-5.690415484689123
102,-5.017668803519296
103,-5.409737484653147
104,-6.302510460925179
105,-5.470710649908066
106,-4.724090038608713
107,-4.867265804570963
108,-5.020899852072599
109,-5.1763755243799086
110,-5.697272419066728
111,-5.186648332724486
112,-6.55902491735067
113,-5.642951127674363
114,-6.075141902629642
115,-5.694196675162976
116,-5.960470402928306
117,-6.255929422662931
118,-5.6984943611773495
119,-4.72003112796205
120,-6.306665952299924
121,-4.768501726097396
122,-5.22298648701189
123,-5.358406964063498
