,,,,International Visitors,,,,Domestic Overnight Interstate Visitors,,,
,,,,Total,,Went to the beach,,Total,,Went to the beach,
FID,LGA_CODE21,LGA_NAME21,Population,Visitors (000),Visitor nights (000),Visitors (000),Visitor nights (000),Visitors (000),Visitor nights (000),Visitors (000),Visitor nights (000)
1,10050,Albury,56093,15.76368714,176.863681,10.43138392,106.6015835,272.4844728,659.8691232,NP,0
2,10180,Armidale Regional,29124,9.987535994,308.6385263,6.768124287,166.5905772,81.52819212,224.9928763,NP,0
3,10250,Ballina,46296,14.31879254,131.7423317,12.88989248,121.2217998,198.7575437,596.4080105,94.05036003,301.7524518
4,10300,Balranald,2208,0,0,NP,0,41.62855519,88.30994087,NP,0
5,10470,Bathurst Regional,43567,9.00583412,161.1460128,4.901644104,116.5364903,80.80183067,396.0253609,NP,0
6,10500,Bayside,175184,290.6763467,2902.079605,120.3421179,2354.300689,127.383572,349.2736007,NP,0
7,10550,Bega Valley,35942,30.06385438,181.4994458,26.1893165,125.4881998,275.8917928,1308.205551,142.6270379,799.0508911
8,10600,Bellingen,13253,5.840896376,40.37266603,5.34501664,36.8388906,19.71755945,174.0030225,NP,0
9,10650,Berrigan,8665,0,0,NP,0,101.2043599,279.2810256,NP,0
10,10750,Blacktown,396776,68.69058891,2199.172303,38.56775389,1460.085233,95.4924579,287.8852276,NP,0
11,10800,Bland,5547,0,0,NP,0,48.46051222,59.98048624,NP,0
12,10850,Blayney,7497,0,0,NP,0,0,0,NP,0
13,10900,Blue Mountains,78121,105.6404773,494.900084,85.69329125,370.6489182,112.1749463,359.2230885,NP,0
14,10950,Bogan,2467,0,0,NP,0,0,0,NP,0
15,11150,Bourke,2340,0,0,NP,0,26.46219945,51.32911171,NP,0
16,11200,Brewarrina,1356,0,0,NP,0,0,0,NP,0
17,11250,Broken Hill,17588,6.139304451,70.85009617,4.58352393,25.59702105,94.2961329,271.6358614,NP,0
18,11300,Burwood,40217,24.62190379,1544.292965,17.29127752,1269.500695,0,0,NP,0
19,11350,Byron,36116,198.8249343,1443.216489,195.6043359,1429.24219,525.7609858,1742.85619,373.4918182,1338.443132
20,11400,Cabonne,13766,0,0,NP,0,0,0,NP,0
21,11450,Camden,119325,7.726072954,194.7629312,4.282714304,134.4886588,24.62102281,60.36380871,NP,0
22,11500,Campbelltown,176519,29.47587548,860.1020448,16.46173453,597.7047711,54.7477043,198.4686757,NP,0
23,11520,Canada Bay,89177,28.46327712,1389.23163,18.83279593,1092.232278,36.22307148,132.2988305,NP,0
24,11570,Canterbury-Bankstown,371006,59.91540549,2275.601208,38.91432187,1806.037696,77.04674347,296.4796538,NP,0
25,11600,Carrathool,2866,0,0,NP,0,21.00088667,56.3981491,NP,0
26,11650,Central Coast,346596,50.97572745,797.2479365,39.95342551,620.8210161,160.3419081,612.5416484,60.6518339,260.3653071
27,11700,Central Darling,1725,0,0,NP,0,23.66261364,50.15106033,NP,0
28,11720,Cessnock,63632,11.39820373,80.76822107,8.642216248,66.21386205,44.53571889,150.3995653,NP,0
29,11730,Clarence Valley,54115,20.2374271,113.9734211,18.7789455,86.68759182,233.5959004,921.5718055,106.8265035,531.1542538
30,11750,Cobar,4059,1.816770075,31.3985832,1.578283627,15.97316095,29.73599056,55.97822449,NP,0
31,11800,Coffs Harbour,78759,81.08294409,675.9960867,76.5134174,642.4721119,282.5539906,952.9761093,140.3411002,619.3784233
32,12000,Coolamon,4385,0,0,NP,-,0,0,NP,0
33,12150,Coonamble,3732,0,0,NP,0,0,0,NP,0
34,12160,Cootamundra-Gundagai Regional,11403,2.284956244,27.1831028,1.542382081,16.46606596,57.56953226,99.93565651,NP,0
35,12350,Cowra,12724,2.267339579,23.28578493,1.943101727,22.01936509,32.19150172,75.74854369,NP,0
36,12380,Cumberland,235439,47.83655226,2705.925191,30.56913027,2026.441775,46.70810983,184.9920738,NP,0
37,12390,Dubbo Regional,54922,10.92257228,228.124707,6.994656246,150.3759689,169.8651867,381.4609881,NP,0
38,12700,Dungog,9541,0,0,NP,0,0,0,NP,0
