formatted_address,name,rating,geometry.location.lat,geometry.location.lng,geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,geometry.viewport.southwest.lat,geometry.viewport.southwest.lng,opening_hours.open_now,big_list_name,adelaide?,south_australia?,sa?,australia?
"2-4 Kalimna Rd, Nuriootpa SA 5355, Australia",Western Ridge Brewing,4.9,-34.458271,138.9985961,-34.45656202010728,139.0001307298927,-34.45926167989272,138.9974310701073,False,western ridge brewery,-1,-1,26,35
"149 Murray Ave, Renmark SA 5341, Australia",Renmark Irrigation Trust,0.0,-34.1733956,140.7501671,-34.17206172010727,140.7516368298928,-34.17476137989271,140.7489371701073,True,the renmark irrigation trust,-1,-1,24,33
"ThincLab, 10 Pulteney St, Adelaide SA 5000, Australia",Ortomi,0.0,-34.9217645,138.605899,-34.92042647010728,138.6070515298927,-34.92312612989272,138.6043518701073,True,ortomi,26,-1,35,44
"10 Pulteney St Ground Floor (ThincLab, Adelaide SA 5000, Australia",AMTD Electronics,0.0,-34.9217645,138.605899,-34.92051787010728,138.6072567798927,-34.92321752989272,138.6045571201072,True,ortomi,39,-1,48,57
"Karolinská 661/4, 186 00 Rohanský ostrov, Czechia",Photon Energy,4.0,50.0943319,14.4463148,50.09545477989273,14.44772947989272,50.09275512010728,14.44502982010728,False,equinor photon energy,-1,-1,-1,-1
"1430 Enclave Pkwy, Houston, TX 77077, United States",Schlumberger,3.0,29.7554652,-95.6191888,29.75679707989273,-95.61781837010729,29.75409742010729,-95.62051802989274,,schlumberger new energy,-1,-1,-1,-1
"859 NE Northgate Way, Seattle, WA 98125, United States",Walgreens,2.5,47.7084073,-122.3180313,47.70967057989272,-122.3169725201073,47.70697092010727,-122.3196721798927,True,anti ordinary,-1,-1,-1,-1
"6825 Ch. de la Côte-des-Neiges, Montréal, QC H3S 2B6, Canada",Maxi & Cie,4.1,45.504974,-73.637672,45.50615427989272,-73.63643597010727,45.50345462010728,-73.6391356298927,True,bon maxie,-1,-1,-1,-1
"55 High St, Lymington SO41 9AH, United Kingdom",Cgi Finance,0.0,50.7575747,-1.5444825,50.75895007989271,-1.543188670107278,50.75625042010726,-1.545888329892722,,cgio finance,-1,-1,-1,-1
"2a/639 Wickham St, Fortitude Valley QLD 4006, Australia",SponsoredLinX,4.1,-27.4509597,153.0406517,-27.44953462010727,153.0419288298927,-27.45223427989271,153.0392291701073,True,sponsoredlinx,-1,-1,-1,46
