formatted_address,name,geometry.location.lat,geometry.location.lng,geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,geometry.viewport.southwest.lat,geometry.viewport.southwest.lng,rating,opening_hours.open_now,adelaide?,south_australia?,australia?,sa?,big_list_name
"South Australia, Australia",south australia,-30.0002315,136.2091547,-25.9963765,141.0029556,-38.0626031,129.00134,,,-1,0,6,-1,vogue australia
"700 Collins St, Docklands VIC 3008, Australia",bureau of meteorology,-37.819624,144.9509451,-37.81828212010728,144.9519898798927,-37.82098177989272,144.9492902201073,2.9,True,-1,-1,36,-1,bureau of meteorology
"Adelaide SA 5005, Australia",the university of adelaide,-34.920603,138.6062277,-34.91538245,138.60942985,-34.92313385,138.59892605,4.5,,0,-1,18,9,the university of adelaide
"8222 118th Ave N STE 600, Largo, FL 33773, United States","smartsat, inc.",27.878259,-82.75350999999999,27.87980597989272,-82.75183267010728,27.87710632010728,-82.75453232989271,0.0,False,-1,-1,-1,-1,smartsat crc
"9805 NE 116th St #7134, Kirkland, WA 98034, United States",northwest representative,47.7038405,-122.2100355,47.70519672989272,-122.2086621701073,47.70249707010728,-122.2113618298927,0.0,,-1,-1,-1,-1,the house of representatives
"Adelaide, SA, Australia",adelaide,-34.92367160000001,138.6038129,-34.8987746,138.6242166,-34.9419635,138.5772193,,,0,-1,14,10,adelaide
"5 Pirie St, Adelaide SA 5000, Australia",adelaide economic development agency,-34.9258329,138.6002013,-34.92443702010727,138.6015469298927,-34.92713667989272,138.5988472701073,0.0,,12,-1,30,21,the adelaide economic development agency
"Level 4/11 York St, Sydney NSW 2000, Australia",stone & chalk sydney startup hub,-33.8652521,151.2051521,-33.86409712010727,151.2067757298927,-33.86679677989272,151.2040760701073,4.6,True,-1,-1,37,-1,stone chalk group
"12670 120th Ave NE STE 162, Kirkland, WA 98034, United States",sephora,47.7131813,-122.1800072,47.71447002989272,-122.1787925701073,47.71177037010727,-122.1814922298927,4.6,True,-1,-1,-1,-1,sephora
"Lot Fourteen, Eleanor Harrald Building, Frome Rd, Adelaide SA 5000, Australia",the circle first nations entrepreneurs,-34.9201415,138.6075834,-34.91881737010728,138.6088476798927,-34.92151702989272,138.6061480201072,0.0,,50,-1,68,59,the circle first nations entrepreneur hub
