link,tech,person,nationality,building,organization,country,location,product,event,money
https://www.proquest.com/anznews/docview/2673010738/5C465B1D225B42F9PQ/1?accountid=14649,start-up,"tom, tom s",,,"western ridge brewery, stien s taphouse","adelaide, nuriootpa",,,,"an extra cents, the two million dollars"
https://www.proquest.com/anznews/docview/2677962027/5C465B1D225B42F9PQ/2?accountid=14649,start-up,"lynch, eddie mcguire, wrest, gill mclachlan, mclachlan, rockliff, gillon mclachlan, jeremy rockliff, jeff kennett, john olsen, david koch, colin carter, brett stubbs","tasmania, tasmanians, tasmanian, hawthorn",,"collingwood, carbine club, afl, gws, hawks","tasmania, north melbourne, australia, hobart, melbourne, tassie, adelaide, port adelaide",,,,
https://www.proquest.com/anznews/docview/2678516294/5C465B1D225B42F9PQ/3?accountid=14649,start-up,"brendan dobson, hope forrest, noel lindsay, dobson",,,"the university of adelaide s, renmark university of adelaide s, university of adelaide, the renmark irrigation trust",,"riverland, australia, the riverland region",,,
https://www.proquest.com/anznews/docview/2702628411/5C465B1D225B42F9PQ/4?accountid=14649,start-up,"sam messina, christian alexandru, messina, alexandru, ortomi, noel lindsay, lindsay",,,"the university of adelaide s, ortomi, the university of adelaide",us,,,,
https://www.proquest.com/anznews/docview/2700310489/5C465B1D225B42F9PQ/5?accountid=14649,start-up,"richard payne, john lasich, payne","victorian, australian",,"raygen, agl chevron s, equinor photon energy, schlumberger new energy, agl","carwarp, shanghai, russia, ukraine, liddell, nsw, south australia","europe, the netherlands",,,
https://www.proquest.com/anznews/docview/2715597652/5C465B1D225B42F9PQ/6?accountid=14649,start-up,"jake bromwich, bromwich",,morphett vale,"rams, westpac","adelaide, south australia, salisbury","greater east, east coast",,,
https://www.proquest.com/anznews/docview/2721507925/5C465B1D225B42F9PQ/7?accountid=14649,start-up,"rudi browning, browning, sarah eisenmenger, eisenmenger, chris eigeland, chris hood vu tran, andrew barnes, lawrence seaton, clare spelta, wessels, baptista, angus goldman, goldman, alex harper, eclipse siobhan coster, sobhan coster, coster, stephen bornstein, bornstein, stacey hollands, hollands, ben, shannah bradshaw, bradshaws, chris anastasi, nathaniel anthony, brodie, drew haupt, nadine bates, kristen souvlis, chris jeffrey, fielding, andrew brice, andrew uscinski, elon musk s, claire o rourke, riye arai coupe, brad moran, james greig s, greig","australian, logan, american",,"anti ordinary, toyota, the queensland university of technology, eigeland, woolworths, coles, bon maxie, jacaranda finance, cgio finance, swyftx, eclipse, lskd, athena, the royal australian infantry corps, lust minerals, sponsoredlinx, google, disrupt digital in, disrupt music, muscle nation, wlth, sesame street, disney universal, dreamworks, university of queensland, audeara, wotif co, valiant space, spacex, the australia space agency, bluebird property, bluebird, sekisui house, o rourke, arai coupe, bluebird development partnerships, tesco, coles moran","queensland, the united states, new zealand, japan, whistler canada, australia, china, americas, harare, france, paddington, csiro, fortitude valley","europe, the sunshine coast, asia, oceania","an aston martin, citrusad","the fai drone racing world championships, olympics, the covid pandemic","billion usd, up to million ausd"
https://www.proquest.com/anznews/docview/2715882001/5C465B1D225B42F9PQ/8?accountid=14649,start-up,"go vu tran  chris, chris eigeland, chris hood, andrew barnes, eigeland s, lawrence seaton, clare spelta, daniel wessels, wessels, baptista, cara giovinazzo, alex harper, angus goldman, goldman, sobhan coster, coster, daniel s, stephen bornstein, bornstein, stacey hollands, hollands, ben, shannah bradshaw, bradshaws, chris anastasi, nathaniel anthony, brodie, drew haupt, nadine bates, kristen souvlis, james fielding, chris jeffrey, andrew brice, andrew uscinski, elon musk s, claire o rourke, riye arai coupe, arai coupe, citrusad brad moran, brad moran, james greig s, greig","logan, australian, american",,"go in  , microsoft, go, eigeland, woolworths, coles, jacaranda finance, cgio finance, borro, swyftx, superhero, lskd, the royal australian infantry corps, lust minerals, sponsoredlinx, google, disrupt digital in, disrupt music, muscle nation, anastasi, anthony, wlth, sesame street, disney universal, dreamworks, university of queensland, audeara, wotif co, valiant space, spacex, the australia space agency, bluebird property, bluebird, sekisui house, consolidated properties group, o rourke, bluebird development partnerships, tesco, coles moran","queensland, harare, france, australia, new zealand, paddington, csiro, fortitude valley","asia, europe, americas, oceania","an aston martin, citrusad","olympics, the covid pandemic","billion usd, billion ausd, million ausd"
https://www.proquest.com/anznews/docview/2715233408/5C465B1D225B42F9PQ/9?accountid=14649,start-up,"ned flanders, chris, cameron grant, caspar david friedrich","sydney, tasmanian, german","ralphs fall, st columba falls","cameron grant, pyengara dairy, unyoked s bar","dorset, new zealand, the united kingdom, bar wa nt, winnaleah, launceston, scottsdale, branxholm, england, tasmania","unyoked, highland lakes, tasman peninsula, mount victoria",,,
https://www.proquest.com/anznews/docview/2725375184/5C465B1D225B42F9PQ/10?accountid=14649,start-up,"tobi pearce, flavia tata nardini, rebecca schot, guppy, danielle seymour, craig swann, ian hill",,stone chalk,"southstart, sweat co, space technologies co, iag s, the flinders new venture institute, the university of adelaide s, aeda","adelaide, australia, adelaide cbd",,,"global entrepreneurs week, start up week, southstart festival, covid global entrepreneurs week, the start up community start up week",
https://www.proquest.com/anznews/docview/2671425493/5C465B1D225B42F9PQ/11?accountid=14649,start-up,"tim stollznow, stollznow, angus juers","american, australian","adelaide oval, stone chalk, lot fourteen innovation district, the hard rock stadium","myvenue, nfl","adelaide, miami, us, stone chalk, stone chalk s",,,may s grand prix,millions of dollars
https://www.proquest.com/anznews/docview/2717993905/5C465B1D225B42F9PQ/12?accountid=14649,start-up,"jeremy thompson, thompson, marty gauvin, alexandra harvey, li ka shing",,mawson lakes campus,"the university of south australia, anff, unisa s, fertilis, horizon ventures, m","australia, hong kong, us, japan",,,,
https://www.proquest.com/anznews/docview/2714967698/5C465B1D225B42F9PQ/13?accountid=14649,start-up,"andrew nunn, chris kirk, kirk, marshall, peter malinauskas, di dixon",,"lot fourteen innovation precinct, the old royal adelaide hospital, royal adelaide hospital","asc, amazon","adelaide, south australia, stone chalk, silicon valley",north tce,,,
https://www.proquest.com/anznews/docview/2714987770/5C465B1D225B42F9PQ/14?accountid=14649,start-up,"andrew nunn, chris kirk, kirk, marshall, peter malinauskas, di dixon",,"lot fourteen innovation precinct, the old royal adelaide hospital, royal adelaide hospital","asc, amazon","adelaide, south australia, stone chalk, silicon valley",north tce,,,
https://www.proquest.com/anznews/docview/2675843828/5C465B1D225B42F9PQ/15?accountid=14649,start-up,"jeremy rockliff, mclachlan, rockliff, jeff kennett, john olsen, david koch, brett stubbs","tasmanian, hawthorn",,"afl, the tasmanian government, hawks, colin carter, aflw, the afl commission","hobart, adelaide, port adelaide s, tasmania",,,,
https://www.proquest.com/anznews/docview/2696723959/5C465B1D225B42F9PQ/16?accountid=14649,start-up,"my great grandfather, eddie, veda, george burgoyne, edward robert betts, mum, nanna veda s, anna, eddie betts, davo, poppa eddie, simon schuster","christians, tasman","the port lincoln hospital, the red shed","the north whyalla football club, the west whyalla dragons, the royal commission","cummins, ceduna, port lincoln, adelaide, boomerang crescent",the eyre peninsula,,,
