index,link,tech,person,nationality,building,organization,country,location,product,event,money,date_
0,https://www.proquest.com/anznews/docview/2714777278/181AD976D1DF4FFBPQ/1?accountid=14649,neuroplasticity,"daish malani, chris kirk, kirk, marco, oliver stone s, kevin costner, jim garrison, andrew nunn, costner, steven marshall, peter malinauskas, di dixon, dixon, adam grocke, grocke, sherlok, summer petrosius, mary kelly, kelly, denham d silva, edward robinson, malani, robinson, nunn, no pollyanna, shahna smith, smith, tracey, mum, pam, bobby, kelly moyle, moyle, chris aldgate, anna vlach, simon lucey d silva, rodney brooks","south australians, australian, austin, south australian","the old rah, hub stone chalk, lot fourteen, royal adelaide hospital, the australian institute for machine learning, rah, eleanor harrald building, the circle first nations entrepreneur hub, tarrkarri, the space discovery centre, sahmri, lot fourteen s, bice, tarrkarri centre","sa, fbi, cia, intelligence community, the bureau of meteorology, the university of adelaide s, asc, amazon, myriota, smartsat crc, the state government, the sa space industry centre, the adelaide city council, the adelaide economic development agency, stone chalk s, stone chalk, home stone chalk, add life technologies, kindship, state government, barossa valley brewing, gst, heathfield high seaton, amplified beauty australia, sephora, the circle first nations entrepreneur hub, the australian institute for machine learning, mit s, australian institute for machine learning, australian space agency, australian cyber collaboration centre","adelaide, australia, new zealand, new orleans, the united state s, sydney, south australia, gawler, tonsley, south australia s, austin, silicon valley, new york, bunnings, melbourne, vancouver canada, d silva, us","the east end, us, pacific, atlantic, the lot fourteen innovation district",the kanyini satellite,"cup run, the international beer awards",,"Sep 17, 2022"
1,https://www.proquest.com/anznews/docview/2714778129/181AD976D1DF4FFBPQ/2?accountid=14649,neuroplasticity,"benjamin thierry, aidan cousins, joe el aklouk, valentina milanova, bartlett ferronova, leticia cubero dominguez, melanie nelson, jordy kitschke, matt pearson, edward, george hartley, philip slusarski, kathrin longhurst, loribelle spirovski del kathryn barton, blak douglas","ferranova, south australian, australian",,"alyra biotech, alyra biotech s, biomebank, alauda aeronautics, fleet space technologies, ferrari, brabham rolls royce, mclaren, neumann space, inovor technologies, bluethumb, kyron, consultmed, the royal adelaide hospital, st john of god health care, cropify, ecojet ecojet","adelaide, australia, us","earth moon, mars","ct pcat, spacex falcon, exosphere, consultmed, ecojet s mtgs, sherlok",,,"Sep 17, 2022"
2,https://www.proquest.com/anznews/docview/2674518228/181AD976D1DF4FFBPQ/3?accountid=14649,neuroplasticity,"katie noonan, noonan, kate ceberano, lee kernaghan, tamara cavenett, cherry hense, hense, gavin gleeson, gleeson",aussie,,"the plos one journal, ryerson university, the australian psychological society, the tweed heads momentum collective connections centre","canada, melbourne, nsw",,,make music day,,"Jun 10, 2022"
3,https://www.proquest.com/anznews/docview/2701973119/181AD976D1DF4FFBPQ/4?accountid=14649,neuroplasticity,"angela betzien, pat, anna, catherine mcclements, stephanie somerville s, nathan o keefe, michelle ny, jessica arthur, paterson, betzien",australian,,"co, sydney theatre company, state theatre",,,,,,"Aug 15, 2022"
4,https://www.proquest.com/anznews/docview/2671428188/181AD976D1DF4FFBPQ/5?accountid=14649,neuroplasticity,"daish malani, malani",australians,lot fourteen,add life technologies,australia,,,,,"May 31, 2022"
5,https://www.proquest.com/anznews/docview/2701299026/181AD976D1DF4FFBPQ/6?accountid=14649,neuroplasticity,"selena bartlett, diwadkar, hof",,,wayne state university,,,,,,"Aug 14, 2022"
6,https://www.proquest.com/anznews/docview/2569564312/181AD976D1DF4FFBPQ/7?accountid=14649,neuroplasticity,"dominic mcafee, dr mcafee, greg adams, hannah wardill nhmrc, hannah wardill s, hannah, wardill, nhmrc cj martin, groningen yee lian chew, mary overton, yee lian chew, yee lian, alice jones, dr alice jones, dr jones, alice r jones, arc decra, dr linda armbrecht, linda s, lee stevens, linda, arc, decra, vitomir kovanovic, dr vitomir kovanovic, vitomir, nasa vitomir, brenton hordacre, hordacre, brenton, catia malvaso, malvaso, catia, ashley hopkins, hopkins, ashley, eddie banks, eddie, dr dominic mcafee, dominic",australian,,"university of adelaide, the australian ocean lab, the australian institute of policy and science, the nature conservancy, the university of adelaide supportive cancer care gastroenterology oncology, the university of adelaide, sahmri, university medical centre, flinders university, the university of the rd age, the university of sydney, flinders foundation, the university of adelaide marine and coastal ecology, the university of southampton, the faculty of sciences linda, the american museum of natural history, macquarie university, the australian centre for ancient dna, university of south australia, the university of edinburgh school of informatics, education futures university of south australia, the university of south australia, herald sun, fm aw bc, gb, flinders university college of medicine and public health, upgro, the national centre for groundwater research and training, the college of science and engineering","ardrossan, laos pdr, sydney","windara shellfish restoration reefs, the port river, antarctica, sub sahara africa",,,,"Sep 6, 2021"
7,https://www.proquest.com/anznews/docview/2476929498/181AD976D1DF4FFBPQ/8?accountid=14649,neuroplasticity,"hannah korrel, korrel",,,,costa rica,,,,,"Jan 13, 2021"
8,https://www.proquest.com/anznews/docview/2499531824/181AD976D1DF4FFBPQ/9?accountid=14649,neuroplasticity,"claire aristides, aristides, jim kwik, kwik",,,mindvalley s superbrain program,,,,,,"Mar 11, 2021"
9,https://www.proquest.com/anznews/docview/2563017064/181AD976D1DF4FFBPQ/10?accountid=14649,neuroplasticity,"tara moss, moss, lorimer moseley, moseley, wolfie, sapphira, tara, lynita clark",australians,,"unicef, painaustralia, the university of south australia, painaustralia org au",,,,,,"Aug 22, 2021"
