tech,link,title,date_,publisher_,source_type_,business_index_term
artificial intelligence,https://www.proquest.com/anznews/docview/2261511993/38C549A391024716PQ/991?accountid=14649,Groupe FIVA buys stake in Kadego,"Jul 23, 2019",Nationwide News Pty Ltd,Newspaper,
artificial intelligence,https://www.proquest.com/anznews/docview/2407416885/38C549A391024716PQ/992?accountid=14649,$10m investment in future of education,"May 30, 2020",Nationwide News Pty Ltd,Newspaper,
artificial intelligence,https://www.proquest.com/anznews/docview/2274433922/38C549A391024716PQ/993?accountid=14649,Golden girl’s on a good wicket,"Aug 18, 2019",Nationwide News Pty Ltd,Newspaper,
artificial intelligence,https://www.proquest.com/anznews/docview/2278801641/38C549A391024716PQ/994?accountid=14649,Child sex dolls jail warning,"Aug 25, 2019",Nationwide News Pty Ltd,Newspaper,
artificial intelligence,https://www.proquest.com/anznews/docview/2355970331/38C549A391024716PQ/995?accountid=14649,Hi-tech partnership to support future frigates,"Feb 18, 2020",Nationwide News Pty Ltd,Newspaper,
artificial intelligence,https://www.proquest.com/anznews/docview/2300630337/38C549A391024716PQ/996?accountid=14649,Defence and health hub,"Oct 5, 2019",Nationwide News Pty Ltd,Newspaper,
artificial intelligence,https://www.proquest.com/anznews/docview/2385946141/38C549A391024716PQ/997?accountid=14649,SA LEADS VACCINE RACE,"Apr 4, 2020",Nationwide News Pty Ltd,Newspaper,
artificial intelligence,https://www.proquest.com/anznews/docview/2187316748/38C549A391024716PQ/998?accountid=14649,Change to vexed research project,"Mar 4, 2019",Nationwide News Pty Ltd,Newspaper,
artificial intelligence,https://www.proquest.com/anznews/docview/2187179445/38C549A391024716PQ/999?accountid=14649,Why machines are good money managers,"Mar 3, 2019",Nationwide News Pty Ltd,Newspaper,
artificial intelligence,https://www.proquest.com/anznews/docview/2423639769/38C549A391024716PQ/1001?accountid=14649,APP TO DATE,"Jul 15, 2020",Nationwide News Pty Ltd,Newspaper,
artificial intelligence,https://www.proquest.com/anznews/docview/2415563337/38C549A391024716PQ/1002?accountid=14649,CORE hub to help to unearth big ideas,"Jun 23, 2020",Nationwide News Pty Ltd,Newspaper,
artificial intelligence,https://www.proquest.com/anznews/docview/2230623915/38C549A391024716PQ/1003?accountid=14649,ADD YEARS TO YOUR SHELF LIFE,"May 25, 2019",Nationwide News Pty Ltd,Newspaper,
artificial intelligence,https://www.proquest.com/anznews/docview/2416024765/38C549A391024716PQ/1004?accountid=14649,Killer was ‘living in a simulation’,"Jun 24, 2020",Nationwide News Pty Ltd,Newspaper,
artificial intelligence,https://www.proquest.com/anznews/docview/2305501417/38C549A391024716PQ/1005?accountid=14649,THE REAL SKILLS IN DEMAND,"Oct 16, 2019",Nationwide News Pty Ltd,Newspaper,
artificial intelligence,https://www.proquest.com/anznews/docview/2344249326/38C549A391024716PQ/1006?accountid=14649,SA tech company’s shoebox spy in sky,"Jan 25, 2020",Nationwide News Pty Ltd,Newspaper,
artificial intelligence,https://www.proquest.com/anznews/docview/2303402512/38C549A391024716PQ/1007?accountid=14649,STATE OF THE HEART,"Oct 12, 2019",Nationwide News Pty Ltd,Newspaper,
artificial intelligence,https://www.proquest.com/anznews/docview/2431380957/38C549A391024716PQ/1008?accountid=14649,Want a visa? Speak bogan,"Aug 9, 2020",Nationwide News Pty Ltd,Newspaper,
artificial intelligence,https://www.proquest.com/anznews/docview/2399962766/38C549A391024716PQ/1009?accountid=14649,SETTING COMPASS FOR SUCCESS,"May 9, 2020",Nationwide News Pty Ltd,Newspaper,
artificial intelligence,https://www.proquest.com/anznews/docview/2216762927/38C549A391024716PQ/1010?accountid=14649,Can you do Tinder at 50?,"Apr 28, 2019",Nationwide News Pty Ltd,Newspaper,
artificial intelligence,https://www.proquest.com/anznews/docview/2267370157/38C549A391024716PQ/1011?accountid=14649,Tech revolution warning,"Aug 1, 2019",Nationwide News Pty Ltd,Newspaper,
artificial intelligence,https://www.proquest.com/anznews/docview/2452191851/38C549A391024716PQ/1012?accountid=14649,SA GREAT Hi-tech boost to back buy-SA bid,"Oct 21, 2020",Nationwide News Pty Ltd,Newspaper,['Digital marketing']
artificial intelligence,https://www.proquest.com/anznews/docview/2417172039/38C549A391024716PQ/1013?accountid=14649,STAYING IN,"Jun 27, 2020",Nationwide News Pty Ltd,Newspaper,
artificial intelligence,https://www.proquest.com/anznews/docview/2416027462/38C549A391024716PQ/1014?accountid=14649,Killer was ‘living in a simulation’,"Jun 24, 2020",Nationwide News Pty Ltd,Newspaper,
artificial intelligence,https://www.proquest.com/anznews/docview/2266364584/38C549A391024716PQ/1015?accountid=14649,Age-old fun – with a few worry lines,"Jul 19, 2019",Nationwide News Pty Ltd,Newspaper,
artificial intelligence,https://www.proquest.com/anznews/docview/2385752291/38C549A391024716PQ/1016?accountid=14649,SA LEADS VACCINE RACE,"Apr 4, 2020",Nationwide News Pty Ltd,Newspaper,
