company,link,title,date_,publisher_,source_type_
Aurrigo,https://www.proquest.com/anznews/docview/1964172105/4FB84235481A4115PQ/4?accountid=14649,DRIVERLESS SHUTTLE IN RUNNING FOR XMAS LAUNCH,"Nov 16, 2017",Nationwide News Pty Ltd,Newspaper
Aurrigo,https://www.proquest.com/anznews/docview/2032731465/4FB84235481A4115PQ/5?accountid=14649,TAKE A CHANCE ON ME,"Apr 28, 2018",Nationwide News Pty Ltd,Newspaper
Aurrigo,https://www.proquest.com/anznews/docview/1963148895/4FB84235481A4115PQ/6?accountid=14649,People with drive create cars without drivers,"Nov 14, 2017",Nationwide News Pty Ltd,Newspaper
Aurrigo,https://www.proquest.com/anznews/docview/1963148318/4FB84235481A4115PQ/7?accountid=14649,Innovation in driver’s seat,"Nov 14, 2017",Nationwide News Pty Ltd,Newspaper
Aurrigo,https://www.proquest.com/anznews/docview/2214390653/4FB84235481A4115PQ/8?accountid=14649,Driverless vehicle trial given the green light,"Apr 26, 2019",Fairfax Media Publications Pty Limited,Newspaper
Aurrigo,https://www.proquest.com/anznews/docview/1963149952/4FB84235481A4115PQ/9?accountid=14649,Innovation in driver’s seat,"Nov 14, 2017",Nationwide News Pty Ltd,Newspaper
Aurrigo,https://www.proquest.com/anznews/docview/1983251217/4FB84235481A4115PQ/10?accountid=14649,DRIVERLESS IS COMING FAST: cover story Mooloolaba hosts trial of autonomous shuttle ... albeit at 7km/h,"Dec 20, 2017",Nationwide News Pty Ltd,Newspaper
Aurrigo,https://www.proquest.com/anznews/docview/1979098266/4FB84235481A4115PQ/11?accountid=14649,DRIVERLESS IS COMING FAST: cover story Mooloolaba hosts trial of autonomous shuttle ... albeit at 7km/h,"Dec 22, 2017",Nationwide News Pty Ltd,Newspaper
Aurrigo,https://www.proquest.com/anznews/docview/1983249952/4FB84235481A4115PQ/12?accountid=14649,DRIVERLESS IS COMING FAST: cover story Mooloolaba hosts trial of autonomous shuttle ... albeit at 7km/h,"Dec 16, 2017",Nationwide News Pty Ltd,Newspaper
Aurrigo,https://www.proquest.com/anznews/docview/1964172659/4FB84235481A4115PQ/13?accountid=14649,"Look, no hands: driverless cars hit road","Nov 16, 2017",Nationwide News Pty Ltd,Newspaper
Aurrigo,https://www.proquest.com/anznews/docview/2077526976/4FB84235481A4115PQ/14?accountid=14649,Uni’s big push for electric car hub,"Jul 29, 2018",Nationwide News Pty Ltd,Newspaper
