tech,link,title,date_,publisher_,source_type_,business_index_term
renewable energy,https://www.proquest.com/anznews/docview/2659787219/5CA94ED5C6DB48ACPQ/314?accountid=14649,Rio chief exec calls for renewables push,"May 6, 2022",Nationwide News Pty Ltd,Newspaper,
renewable energy,https://www.proquest.com/anznews/docview/2655895652/5CA94ED5C6DB48ACPQ/315?accountid=14649,Bank boss predicts energy volatility,"Apr 28, 2022",Nationwide News Pty Ltd,Newspaper,"['Energy industry;', 'Volatility']"
renewable energy,https://www.proquest.com/anznews/docview/2676673703/5CA94ED5C6DB48ACPQ/316?accountid=14649,BP goes green with massive Pilbara bet,"Jun 16, 2022",Nationwide News Pty Ltd,Newspaper,
renewable energy,https://www.proquest.com/anznews/docview/2673434503/5CA94ED5C6DB48ACPQ/317?accountid=14649,Board stoush ignites again,"Jun 7, 2022",Nationwide News Pty Ltd,Newspaper,
renewable energy,https://www.proquest.com/anznews/docview/2714968465/5CA94ED5C6DB48ACPQ/318?accountid=14649,Green hydrogen in Pilbara ‘only the start’,"Sep 17, 2022",Nationwide News Pty Ltd,Newspaper,"['Green hydrogen;', 'Renewable resources']"
renewable energy,https://www.proquest.com/anznews/docview/2651888384/5CA94ED5C6DB48ACPQ/319?accountid=14649,Iris targets green bitcoin expansion,"Apr 19, 2022",Nationwide News Pty Ltd,Newspaper,"['Digital currencies;', 'Energy industry']"
renewable energy,https://www.proquest.com/anznews/docview/2655900284/5CA94ED5C6DB48ACPQ/320?accountid=14649,Bank boss predicts energy volatility,"Apr 28, 2022",Nationwide News Pty Ltd,Newspaper,"['Energy industry;', 'Volatility']"
renewable energy,https://www.proquest.com/anznews/docview/2656948567/5CA94ED5C6DB48ACPQ/321?accountid=14649,FOR THE LOVE OF RHYS,"Apr 30, 2022",Nationwide News Pty Ltd,Newspaper,
renewable energy,https://www.proquest.com/anznews/docview/2725670234/5CA94ED5C6DB48ACPQ/322?accountid=14649,NAB boss ‘optimistic’ on climate transition,"Oct 19, 2022",Nationwide News Pty Ltd,Newspaper,"['Gas industry;', 'Renewable resources']"
renewable energy,https://www.proquest.com/anznews/docview/2667310274/5CA94ED5C6DB48ACPQ/323?accountid=14649,Put projects before any petty interests,"May 22, 2022",Nationwide News Pty Ltd,Newspaper,
renewable energy,https://www.proquest.com/anznews/docview/2647905372/5CA94ED5C6DB48ACPQ/324?accountid=14649,Gupta ready for green revolution,"Apr 8, 2022",Nationwide News Pty Ltd,Newspaper,
renewable energy,https://www.proquest.com/anznews/docview/2648311303/5CA94ED5C6DB48ACPQ/325?accountid=14649,Sharkie snares climate cash,"Apr 9, 2022",Nationwide News Pty Ltd,Newspaper,['Donations']
renewable energy,https://www.proquest.com/anznews/docview/2461606707/5CA94ED5C6DB48ACPQ/326?accountid=14649,AGL adds 250MW battery at South Australia’s Torrens Island,"Nov 16, 2020",Nationwide News Pty Ltd,Newspaper,['Energy industry']
renewable energy,https://www.proquest.com/anznews/docview/2647898850/5CA94ED5C6DB48ACPQ/327?accountid=14649,Gupta ready for green revolution,"Apr 8, 2022",Nationwide News Pty Ltd,Newspaper,
renewable energy,https://www.proquest.com/anznews/docview/2647901089/5CA94ED5C6DB48ACPQ/328?accountid=14649,Gupta ready for green revolution,"Apr 8, 2022",Nationwide News Pty Ltd,Newspaper,
renewable energy,https://www.proquest.com/anznews/docview/2673434440/5CA94ED5C6DB48ACPQ/329?accountid=14649,iO Energy powering up to take on the top level,"Jun 7, 2022",Nationwide News Pty Ltd,Newspaper,"['Consumers;', 'Energy industry']"
renewable energy,https://www.proquest.com/anznews/docview/2648625176/5CA94ED5C6DB48ACPQ/330?accountid=14649,"A positive agenda to unite, not divide","Apr 10, 2022",Nationwide News Pty Ltd,Newspaper,['Employment']
renewable energy,https://www.proquest.com/anznews/docview/2683814281/5CA94ED5C6DB48ACPQ/331?accountid=14649,Hot properties,"Jul 4, 2022",Nationwide News Pty Ltd,Newspaper,['REITs']
renewable energy,https://www.proquest.com/anznews/docview/2724749880/5CA94ED5C6DB48ACPQ/332?accountid=14649,"Now Greta’s on board, is it time to go nuclear?","Oct 15, 2022",Nationwide News Pty Ltd,Newspaper,"['Engineering firms;', 'Renewable resources;', 'Economics']"
renewable energy,https://www.proquest.com/anznews/docview/2660756606/5CA94ED5C6DB48ACPQ/333?accountid=14649,Have your say,"May 9, 2022",Nationwide News Pty Ltd,Newspaper,
renewable energy,https://www.proquest.com/anznews/docview/2677942404/5CA94ED5C6DB48ACPQ/334?accountid=14649,RM’s vision opens gait for local industry skills,"Jun 18, 2022",Nationwide News Pty Ltd,Newspaper,
renewable energy,https://www.proquest.com/anznews/docview/2714970038/5CA94ED5C6DB48ACPQ/335?accountid=14649,Green hydrogen in Pilbara ‘only the start’,"Sep 17, 2022",Nationwide News Pty Ltd,Newspaper,"['Green hydrogen;', 'Renewable resources']"
renewable energy,https://www.proquest.com/anznews/docview/2714969594/5CA94ED5C6DB48ACPQ/336?accountid=14649,Green hydrogen in Pilbara ‘only the start’,"Sep 17, 2022",Nationwide News Pty Ltd,Newspaper,"['Green hydrogen;', 'Renewable resources']"
renewable energy,https://www.proquest.com/anznews/docview/2714968613/5CA94ED5C6DB48ACPQ/337?accountid=14649,Green hydrogen in Pilbara ‘only the start’,"Sep 17, 2022",Nationwide News Pty Ltd,Newspaper,"['Green hydrogen;', 'Renewable resources']"
renewable energy,https://www.proquest.com/anznews/docview/2714967545/5CA94ED5C6DB48ACPQ/338?accountid=14649,Green hydrogen in Pilbara ‘only the start’,"Sep 17, 2022",Nationwide News Pty Ltd,Newspaper,"['Green hydrogen;', 'Renewable resources']"
renewable energy,https://www.proquest.com/anznews/docview/2655617004/5CA94ED5C6DB48ACPQ/339?accountid=14649,World-class solar car team visits town to promote sustainable energy,"Apr 28, 2022",Fairfax Media Publications Pty Limited,Newspaper,
renewable energy,https://www.proquest.com/anznews/docview/2655617027/5CA94ED5C6DB48ACPQ/340?accountid=14649,World-class solar car team visits town to promote sustainable energy,"Apr 28, 2022",Fairfax Media Publications Pty Limited,Newspaper,
renewable energy,https://www.proquest.com/anznews/docview/2697454794/5CA94ED5C6DB48ACPQ/341?accountid=14649,Hydrogen plant to trigger $20b boom,"Aug 4, 2022",Fairfax Media Publications Pty Limited,Newspaper,['Construction industry']
renewable energy,https://www.proquest.com/anznews/docview/2714970393/5CA94ED5C6DB48ACPQ/342?accountid=14649,Engie in $87m Pilbara green hydrogen plant,"Sep 17, 2022",Nationwide News Pty Ltd,Newspaper,"['Green hydrogen;', 'Renewable resources']"
renewable energy,https://www.proquest.com/anznews/docview/2695157816/5CA94ED5C6DB48ACPQ/343?accountid=14649,Whyalla's hydrogen plant 'to trigger $20 billion of renewables',"Jul 28, 2022",Fairfax Media Publications Pty Limited,Newspaper,['Construction industry']
renewable energy,https://www.proquest.com/anznews/docview/2656734203/5CA94ED5C6DB48ACPQ/344?accountid=14649,Coal price spike puts cash to climate comment: Australia Votes 2022,"Apr 30, 2022",Fairfax Digital,Newspaper,
renewable energy,https://www.proquest.com/anznews/docview/2659294145/5CA94ED5C6DB48ACPQ/345?accountid=14649,Firm focus on fairness,"May 5, 2022",Fairfax Media Publications Pty Limited,Newspaper,
renewable energy,https://www.proquest.com/anznews/docview/2673387049/5CA94ED5C6DB48ACPQ/346?accountid=14649,ACT power prices buck national trend,"Jun 7, 2022",Fairfax Media Publications Pty Limited,Newspaper,['Costs']
renewable energy,https://www.proquest.com/anznews/docview/2658277212/5CA94ED5C6DB48ACPQ/347?accountid=14649,Charging stations network to boost take-up of electric vehicles,"May 3, 2022",Fairfax Media Publications Pty Limited,Newspaper,['Infrastructure']
renewable energy,https://www.proquest.com/anznews/docview/2702631325/5CA94ED5C6DB48ACPQ/348?accountid=14649,Letters,"Aug 17, 2022",Nationwide News Pty Ltd,Newspaper,"['Tax rates;', 'Property taxes']"
renewable energy,https://www.proquest.com/anznews/docview/2652629435/5CA94ED5C6DB48ACPQ/349?accountid=14649,Candidates hope to push seats marginal,"Apr 21, 2022",Fairfax Media Publications Pty Limited,Newspaper,
renewable energy,https://www.proquest.com/anznews/docview/2728509876/5CA94ED5C6DB48ACPQ/351?accountid=14649,Mixed regional reaction,"Oct 27, 2022",Fairfax Media Publications Pty Limited,Newspaper,['Infrastructure']
