title,links_,publised_date_,company
"Simple solutions to a complex problem: Evaluating novel, clinically feasible, methods to increase neuroplasticity and promote stroke recovery - University of South Australia",https://news.google.com/__i/rss/rd/articles/CBMiT2h0dHBzOi8vd3d3LnVuaXNhLmVkdS5hdS9yZXNlYXJjaC9kZWdyZWVzL3NpbXBsZS1zb2x1dGlvbnMtdG8tYS1jb21wbGV4LXByb2JsZW3SAQA?oc=5,"Fri, 07 Oct 2022 02:32:30 GMT",neuroplasticity
Marcelo Carrusca and 'Positive Me' aim to build good people through football - The Inner Sanctum,https://news.google.com/__i/rss/rd/articles/CBMibmh0dHBzOi8vd3d3LnRoZWlubmVyc2FuY3R1bS5jb20uYXUvbWFyY2Vsby1jYXJydXNjYS1hbmQtcG9zaXRpdmUtbWUtYWltLXRvLWJ1aWxkLWdvb2QtcGVvcGxlLXRocm91Z2gtZm9vdGJhbGwv0gEA?oc=5,"Mon, 03 Oct 2022 07:00:00 GMT",neuroplasticity
Why Pain Reprocessing Therapy (PRT) could help with chronic pain - The Australian,https://news.google.com/__i/rss/rd/articles/CBMif2h0dHBzOi8vd3d3LnRoZWF1c3RyYWxpYW4uY29tLmF1L3RoZS1vei93ZWxsYmVpbmcvaXMtdGhpcy10aGUtY3VyZS1mb3ItY2hyb25pYy1wYWluL25ld3Mtc3RvcnkvOTNkMzM0ZTZlYzk4ZGE2YWRiYjFjOWI0OTE0ZjdmNDLSAQA?oc=5,"Mon, 11 Jul 2022 07:00:00 GMT",neuroplasticity
Q&A: Neuroplasticity after stroke reveals 'critical' early period for rehabilitation - Healio,https://news.google.com/__i/rss/rd/articles/CBMif2h0dHBzOi8vd3d3LmhlYWxpby5jb20vbmV3cy9uZXVyb2xvZ3kvMjAyMTAzMDgvcWEtbmV1cm9wbGFzdGljaXR5LWFmdGVyLXN0cm9rZS1yZXZlYWxzLWNyaXRpY2FsLWVhcmx5LXBlcmlvZC1mb3ItcmVoYWJpbGl0YXRpb27SAQA?oc=5,"Mon, 08 Mar 2021 08:00:00 GMT",neuroplasticity
Airspeeder: The World's First Flying Car Race - Travel Radar,https://news.google.com/__i/rss/rd/articles/CBMiOmh0dHBzOi8vdHJhdmVscmFkYXIuYWVyby9haXJzcGVlZGVyLWZpcnN0LWZseWluZy1jYXItcmFjZS_SAQA?oc=5,"Sat, 15 Oct 2022 07:00:00 GMT",aerospace engineering
Our People: Experts in Action in Alabama | TNC - The Nature Conservancy,https://news.google.com/__i/rss/rd/articles/CBMiZ2h0dHBzOi8vd3d3Lm5hdHVyZS5vcmcvZW4tdXMvYWJvdXQtdXMvd2hlcmUtd2Utd29yay91bml0ZWQtc3RhdGVzL2FsYWJhbWEvc3Rvcmllcy1pbi1hbGFiYW1hL291ci1zdGFmZi_SAQA?oc=5,"Tue, 11 Oct 2022 23:38:23 GMT",aerospace engineering
"Meet Andrew Curran, South Australia's Professional Engineer of the Year - Create - create digital",https://news.google.com/__i/rss/rd/articles/CBMiY2h0dHBzOi8vY3JlYXRlZGlnaXRhbC5vcmcuYXUvbWVldC1hbmRyZXctY3VycmFuLXNvdXRoLWF1c3RyYWxpYXMtcHJvZmVzc2lvbmFsLWVuZ2luZWVyLW9mLXRoZS15ZWFyL9IBAA?oc=5,"Tue, 22 Feb 2022 08:00:00 GMT",aerospace engineering
Upskill to defence - Adelaide Advertiser,https://news.google.com/__i/rss/rd/articles/CBMimQFodHRwczovL3d3dy5hZGVsYWlkZW5vdy5jb20uYXUvbmV3cy9mdXR1cmUtYWRlbGFpZGUvbWFqb3ItZGVmZW5jZS1wcm9qZWN0cy1jcmVhdGUtdGhvdXNhbmRzLW9mLW5ldy1qb2JzLWluLXNhL25ld3Mtc3RvcnkvMDRkMGY1ZTkwZTQ0ZDAwNTViYzM5NjM3MzEyNjZmNDLSAZ0BaHR0cHM6Ly93d3cuYWRlbGFpZGVub3cuY29tLmF1L25ld3MvZnV0dXJlLWFkZWxhaWRlL21ham9yLWRlZmVuY2UtcHJvamVjdHMtY3JlYXRlLXRob3VzYW5kcy1vZi1uZXctam9icy1pbi1zYS9uZXdzLXN0b3J5LzA0ZDBmNWU5MGU0NGQwMDU1YmMzOTYzNzMxMjY2ZjQyP2FtcA?oc=5,"Tue, 07 Jun 2022 07:00:00 GMT",aerospace engineering
Research ties between Scotland and Australia could advance shipbuilding on the Clyde - University of Strathclyde,https://news.google.com/__i/rss/rd/articles/CBMifGh0dHBzOi8vd3d3LnN0cmF0aC5hYy51ay93aHlzdHJhdGhjbHlkZS9uZXdzLzIwMjIvcmVzZWFyY2h0aWVzYmV0d2VlbnNjb3RsYW5kYW5kYXVzdHJhbGlhY291bGRhZHZhbmNlc2hpcGJ1aWxkaW5nb250aGVjbHlkZS_SAQA?oc=5,"Fri, 23 Sep 2022 07:00:00 GMT",aerospace engineering
Murray Bridge students reaching for the stars - The Murray Valley Standard,https://news.google.com/__i/rss/rd/articles/CBMiZGh0dHBzOi8vd3d3Lm11cnJheXZhbGxleXN0YW5kYXJkLmNvbS5hdS9zdG9yeS83NzIxMzE0L211cnJheS1icmlkZ2Utc3R1ZGVudHMtcmVhY2hpbmctZm9yLXRoZS1zdGFycy_SAQA?oc=5,"Sun, 01 May 2022 07:00:00 GMT",aerospace engineering
The need for speed - ฺBangkok Post,https://news.google.com/__i/rss/rd/articles/CBMiUGh0dHBzOi8vd3d3LmJhbmdrb2twb3N0LmNvbS9saWZlL3NvY2lhbC1hbmQtbGlmZXN0eWxlLzIzNzIwNjUvdGhlLW5lZWQtZm9yLXNwZWVk0gEA?oc=5,"Fri, 19 Aug 2022 07:00:00 GMT",aerospace engineering
Smead Aerospace houses new partnership on autonomous air mobility and sensing - Mirage News,https://news.google.com/__i/rss/rd/articles/CBMiTGh0dHBzOi8vd3d3Lm1pcmFnZW5ld3MuY29tL3NtZWFkLWFlcm9zcGFjZS1ob3VzZXMtbmV3LXBhcnRuZXJzaGlwLW9uLTc4MjA3My_SAQA?oc=5,"Sat, 14 May 2022 07:00:00 GMT",aerospace engineering
Airbus satellite facility destined for Australian Space Park in Adelaide - Defence Connect,https://news.google.com/__i/rss/rd/articles/CBMifWh0dHBzOi8vd3d3LmRlZmVuY2Vjb25uZWN0LmNvbS5hdS9rZXktZW5hYmxlcnMvMTA0MzYtYWlyYnVzLXNhdGVsbGl0ZS1mYWNpbGl0eS1kZXN0aW5lZC1mb3ItYXVzdHJhbGlhbi1zcGFjZS1wYXJrLWluLWFkZWxhaWRl0gEA?oc=5,"Mon, 01 Aug 2022 07:00:00 GMT",aerospace engineering
Manufacturing Supervisor – Defence Connect Jobs - jobs.defenceconnect.com.au,https://news.google.com/__i/rss/rd/articles/CBMiQGh0dHBzOi8vam9icy5kZWZlbmNlY29ubmVjdC5jb20uYXUvam9iL21hbnVmYWN0dXJpbmctc3VwZXJ2aXNvci_SAQA?oc=5,"Wed, 14 Sep 2022 07:00:00 GMT",aerospace engineering
Aurora to produce Airspeeder flying car races - Broadcast,https://news.google.com/__i/rss/rd/articles/CBMiZ2h0dHBzOi8vd3d3LmJyb2FkY2FzdG5vdy5jby51ay9wcm9kdWN0aW9uL2F1cm9yYS10by1wcm9kdWNlLWFpcnNwZWVkZXItZmx5aW5nLWNhci1yYWNlcy81MTcxMjQyLmFydGljbGXSAQA?oc=5,"Fri, 27 May 2022 07:00:00 GMT",aerospace engineering
Pandemic has put long-haul pilots in a stressful tailspin - EurekAlert,https://news.google.com/__i/rss/rd/articles/CBMiL2h0dHBzOi8vd3d3LmV1cmVrYWxlcnQub3JnL25ld3MtcmVsZWFzZXMvOTYwNjcy0gEA?oc=5,"Tue, 02 Aug 2022 07:00:00 GMT",aerospace engineering
Sierra Space partners with Turkish Space Agency and ESEN - SpaceWatch.Global,https://news.google.com/__i/rss/rd/articles/CBMiW2h0dHBzOi8vc3BhY2V3YXRjaC5nbG9iYWwvMjAyMi8wNy9zaWVycmEtc3BhY2UtcGFydG5lcnMtd2l0aC10dXJraXNoLXNwYWNlLWFnZW5jeS1hbmQtZXNlbi_SAQA?oc=5,"Fri, 01 Jul 2022 07:00:00 GMT",aerospace engineering
Airspeeder and IWC announce engineering and timekeeping partnership – sUAS News – The Business of Drones - sUAS News,https://news.google.com/__i/rss/rd/articles/CBMiZWh0dHBzOi8vd3d3LnN1YXNuZXdzLmNvbS8yMDIxLzA2L2FpcnNwZWVkZXItYW5kLWl3Yy1hbm5vdW5jZS1lbmdpbmVlcmluZy1hbmQtdGltZWtlZXBpbmctcGFydG5lcnNoaXAv0gEA?oc=5,"Tue, 15 Jun 2021 07:00:00 GMT",aerospace engineering
South Australia Reaches 70% Renewables - Solar Quotes,https://news.google.com/__i/rss/rd/articles/CBMiPGh0dHBzOi8vd3d3LnNvbGFycXVvdGVzLmNvbS5hdS9ibG9nL3NhLXJlbmV3YWJsZXMtbWlsZXN0b25lL9IBAA?oc=5,"Mon, 31 Oct 2022 02:28:44 GMT",renewable energy
"Wave energy machines on Australian south coast would slash renewable energy costs, CSIRO says - The Guardian",https://news.google.com/__i/rss/rd/articles/CBMikAFodHRwczovL3d3dy50aGVndWFyZGlhbi5jb20vZW52aXJvbm1lbnQvMjAyMi9vY3QvMDUvd2F2ZS1lbmVyZ3ktbWFjaGluZXMtb24tYXVzdHJhbGlhbi1zb3V0aC1jb2FzdC13b3VsZC1zbGFzaC1yZW5ld2FibGUtZW5lcmd5LWNvc3RzLWNzaXJvLXNheXPSAQA?oc=5,"Wed, 05 Oct 2022 07:00:00 GMT",renewable energy
Iberdrola commits to up to €3bn in investment in Australia - Energy Digital,https://news.google.com/__i/rss/rd/articles/CBMiXGh0dHBzOi8vZW5lcmd5ZGlnaXRhbC5jb20vYXJ0aWNsZXMvaWJlcmRyb2xhLWNvbW1pdHMtdG8tdXAtdG8tM2JuLWluLWludmVzdG1lbnQtaW4tYXVzdHJhbGlh0gEA?oc=5,"Tue, 18 Oct 2022 08:02:50 GMT",renewable energy
"South Australia won’t supply gas to NSW during shortages, minister warns - The Guardian Australia",https://news.google.com/__i/rss/rd/articles/CBMifWh0dHBzOi8vd3d3LnRoZWd1YXJkaWFuLmNvbS9hdXN0cmFsaWEtbmV3cy8yMDIyL29jdC8yMS9zb3V0aC1hdXN0cmFsaWEtd29udC1zdXBwbHktZ2FzLXRvLW5zdy1kdXJpbmctc2hvcnRhZ2VzLW1pbmlzdGVyLXdhcm5z0gEA?oc=5,"Thu, 20 Oct 2022 07:00:00 GMT",renewable energy
Renewable storage heating up at Torrens Island - ARENAWIRE,https://news.google.com/__i/rss/rd/articles/CBMiSWh0dHBzOi8vYXJlbmEuZ292LmF1L2Jsb2cvcmVuZXdhYmxlLXN0b3JhZ2UtaGVhdGluZy11cC1hdC10b3JyZW5zLWlzbGFuZC_SAQA?oc=5,"Mon, 24 Oct 2022 03:29:21 GMT",renewable energy
One of BHP’s top execs Laura Tyler says nuclear power should be ‘in the mix’ for Australia’s energy needs - The Australian,https://news.google.com/__i/rss/rd/articles/CBMi1AFodHRwczovL3d3dy50aGVhdXN0cmFsaWFuLmNvbS5hdS9idXNpbmVzcy9yZW5ld2FibGUtZW5lcmd5LWVjb25vbXkvb25lLW9mLWJocHMtdG9wLWV4ZWNzLWxhdXJhLXR5bGVyLXNheXMtbnVjbGVhci1wb3dlci1zaG91bGQtYmUtaW4tdGhlLW1peC1mb3ItYXVzdHJhbGlhcy1lbmVyZ3ktbmVlZHMvbmV3cy1zdG9yeS85YWFhZGNmOTNiMmQyY2I4MDE3ZjA2MTIxODBkY2JmONIB1AFodHRwczovL2FtcC50aGVhdXN0cmFsaWFuLmNvbS5hdS9idXNpbmVzcy9yZW5ld2FibGUtZW5lcmd5LWVjb25vbXkvb25lLW9mLWJocHMtdG9wLWV4ZWNzLWxhdXJhLXR5bGVyLXNheXMtbnVjbGVhci1wb3dlci1zaG91bGQtYmUtaW4tdGhlLW1peC1mb3ItYXVzdHJhbGlhcy1lbmVyZ3ktbmVlZHMvbmV3cy1zdG9yeS85YWFhZGNmOTNiMmQyY2I4MDE3ZjA2MTIxODBkY2JmOA?oc=5,"Thu, 27 Oct 2022 07:16:00 GMT",renewable energy
Green Grid to Connect Asia - CleanTechnica,https://news.google.com/__i/rss/rd/articles/CBMiQGh0dHBzOi8vY2xlYW50ZWNobmljYS5jb20vMjAyMi8xMC8zMC9ncmVlbi1ncmlkLXRvLWNvbm5lY3QtYXNpYS_SAURodHRwczovL2NsZWFudGVjaG5pY2EuY29tLzIwMjIvMTAvMzAvZ3JlZW4tZ3JpZC10by1jb25uZWN0LWFzaWEvYW1wLw?oc=5,"Sun, 30 Oct 2022 16:16:13 GMT",renewable energy
