title,links_,publised_date_,company
DRONE AND VERTICAL MOBILITY ACADEMY LAUNCHES MEDICAL DRONE START-UP CHALLENGE WITH ROYAL AUTOMOBILE ASSOCIATION OF SOUTH AUSTRALIA - FIA,https://news.google.com/__i/rss/rd/articles/CBMidGh0dHBzOi8vd3d3LmZpYS5jb20vbmV3cy9kcm9uZS1hbmQtdmVydGljYWwtbW9iaWxpdHktYWNhZGVteS1sYXVuY2hlcy1tZWRpY2FsLWRyb25lLXN0YXJ0LWNoYWxsZW5nZS1yb3lhbC1hdXRvbW9iaWxl0gEA?oc=5,"Thu, 27 Oct 2022 07:00:00 GMT",start-up
Indian-Australian startup raises $1m for e-bike manufacturing hub in South Australia - Australia Today,https://news.google.com/__i/rss/rd/articles/CBMieWh0dHBzOi8vd3d3LnRoZWF1c3RyYWxpYXRvZGF5LmNvbS5hdS9pbmRpYW4tYXVzdHJhbGlhbi1zdGFydHVwLXJhaXNlcy0xbS1mb3ItZS1iaWtlLW1hbnVmYWN0dXJpbmctaHViLWluLXNvdXRoLWF1c3RyYWxpYS_SAQA?oc=5,"Thu, 10 Nov 2022 08:00:00 GMT",start-up
Meet Australia’s next start-up success - news.com.au,https://news.google.com/__i/rss/rd/articles/CBMihwFodHRwczovL3d3dy5uZXdzLmNvbS5hdS9maW5hbmNlL2J1c2luZXNzL21lbGJvdXJuZWJhc2VkLWpvcmRhbi1zaHJlZXZlLW9uLWJlaW5nLWEtZGlzcnVwdGVyL25ld3Mtc3RvcnkvMTY5MGE4ZmMzODQxZGQ1MTRkYzY0Mjc2NTA0NmJiZmTSAYsBaHR0cHM6Ly93d3cubmV3cy5jb20uYXUvZmluYW5jZS9idXNpbmVzcy9tZWxib3VybmViYXNlZC1qb3JkYW4tc2hyZWV2ZS1vbi1iZWluZy1hLWRpc3J1cHRlci9uZXdzLXN0b3J5LzE2OTBhOGZjMzg0MWRkNTE0ZGM2NDI3NjUwNDZiYmZkP2FtcA?oc=5,"Sun, 30 Oct 2022 07:00:00 GMT",start-up
Australia's Beach Energy to take over Warrego Energy - Argus Media,https://news.google.com/__i/rss/rd/articles/CBMiXmh0dHBzOi8vd3d3LmFyZ3VzbWVkaWEuY29tL2VuL25ld3MvMjM5MDY0MS1hdXN0cmFsaWFzLWJlYWNoLWVuZXJneS10by10YWtlLW92ZXItd2FycmVnby1lbmVyZ3nSAQA?oc=5,"Mon, 14 Nov 2022 06:40:28 GMT",start-up
Drink in the festive spirit - Adelaide Advertiser,https://news.google.com/__i/rss/rd/articles/CBMiogFodHRwczovL3d3dy5hZGVsYWlkZW5vdy5jb20uYXUvbGlmZXN0eWxlL2Zvb2Qtd2luZS9yYWlzZS1hLWdsYXNzLXRvLXNvdXRoLWF1c3RyYWxpYXMtcHJlbWl1bS1mZXN0aXZlLXdpbmVzLWFuZC1zcGlyaXRzL25ld3Mtc3RvcnkvNmM2ZDY5OGNhZDJmYTVkYTg3ZTQ2MThiNzg1ZTcwNDjSAaYBaHR0cHM6Ly93d3cuYWRlbGFpZGVub3cuY29tLmF1L2xpZmVzdHlsZS9mb29kLXdpbmUvcmFpc2UtYS1nbGFzcy10by1zb3V0aC1hdXN0cmFsaWFzLXByZW1pdW0tZmVzdGl2ZS13aW5lcy1hbmQtc3Bpcml0cy9uZXdzLXN0b3J5LzZjNmQ2OThjYWQyZmE1ZGE4N2U0NjE4Yjc4NWU3MDQ4P2FtcA?oc=5,"Tue, 08 Nov 2022 08:00:00 GMT",start-up
Hawsons Iron and Flinders Ports engage in greenfield port option talks in South Australia - International Mining,https://news.google.com/__i/rss/rd/articles/CBMie2h0dHBzOi8vaW0tbWluaW5nLmNvbS8yMDIyLzExLzE0L2hhd3NvbnMtaXJvbi1hbmQtZmxpbmRlcnMtcG9ydHMtZW5nYWdlLWluLWdyZWVuZmllbGQtcG9ydC1vcHRpb24tdGFsa3MtaW4tc291dGgtYXVzdHJhbGlhL9IBAA?oc=5,"Mon, 14 Nov 2022 10:24:54 GMT",start-up
"$600,000 funding for innovative defence projects - @AuManufacturing",https://news.google.com/__i/rss/rd/articles/CBMiUWh0dHBzOi8vd3d3LmF1bWFudWZhY3R1cmluZy5jb20uYXUvNjAwMDAwLWZ1bmRpbmctZm9yLWlubm92YXRpdmUtZGVmZW5jZS1wcm9qZWN0c9IBAA?oc=5,"Fri, 04 Nov 2022 07:00:00 GMT",start-up
First Nation businesses circle in on growth - InDaily,https://news.google.com/__i/rss/rd/articles/CBMiXGh0dHBzOi8vaW5kYWlseS5jb20uYXUvbmV3cy9idXNpbmVzcy8yMDIyLzExLzA3L2ZpcnN0LW5hdGlvbi1idXNpbmVzc2VzLWNpcmNsZS1pbi1vbi1ncm93dGgv0gEA?oc=5,"Mon, 07 Nov 2022 08:00:00 GMT",start-up
Corporate Ladder: your weekly guide to executive appointments - InDaily,https://news.google.com/__i/rss/rd/articles/CBMicWh0dHBzOi8vaW5kYWlseS5jb20uYXUvbmV3cy9idXNpbmVzcy8yMDIyLzEwLzMxL2NvcnBvcmF0ZS1sYWRkZXIteW91ci13ZWVrbHktZ3VpZGUtdG8tZXhlY3V0aXZlLWFwcG9pbnRtZW50cy0xMTMv0gEA?oc=5,"Mon, 31 Oct 2022 07:00:00 GMT",start-up
Adelaide’s ‘grammar detective’ weighs in on exam blunder - Adelaide Advertiser,https://news.google.com/__i/rss/rd/articles/CBMinQFodHRwczovL3d3dy5hZGVsYWlkZW5vdy5jb20uYXUvbmV3cy9zb3V0aC1hdXN0cmFsaWEvc2FjZS1kZWZlbmRzLWFsbG93aW5nLW9ubGluZS1saXRlcmFjeS10b29sLWdyYW1tYXJseS1pbi1leGFtcy9uZXdzLXN0b3J5LzUxZWQ3ZjZkM2IzMGJkZTBlOWVjMzEyYTZjOGY0MmIw0gEA?oc=5,"Tue, 15 Nov 2022 07:50:00 GMT",start-up
How Cure Brain Cancer Foundation CEO Lance Kawaguchi gets it done - Fundraising & Philanthropy Magazine,https://news.google.com/__i/rss/rd/articles/CBMiVmh0dHBzOi8vd3d3LmZwbWFnYXppbmUuY29tLmF1L2N1cmUtYnJhaW4tY2FuY2VyLWZvdW5kYXRpb24tY2VvLWxhbmNlLWthd2FndWNoaS0zODU4OTQv0gEA?oc=5,"Mon, 21 Nov 2022 18:09:15 GMT",start-up
SA is ‘literally three really good decisions away from being a powerhouse’ - Adelaide Advertiser,https://news.google.com/__i/rss/rd/articles/CBMiogFodHRwczovL3d3dy5hZGVsYWlkZW5vdy5jb20uYXUvbGlmZXN0eWxlL3NhLXdlZWtlbmQvaW5zaWRlLXRoZS1zdGFydHVwcy1pbm5vdmF0b3JzLWFuZC1lbnRyZXByZW5ldXJzLWNoYW5naW5nLWFkZWxhaWRlL25ld3Mtc3RvcnkvMTQ3M2Q0MWI1NDVlOWNkYWZmZjRhMTI2NzQyZTExZWXSAQA?oc=5,"Sat, 17 Sep 2022 07:00:00 GMT",start-up
"Gas price cap would rule out Narrabri, Beetaloo: study - Energy - The Australian Financial Review",https://news.google.com/__i/rss/rd/articles/CBMiaWh0dHBzOi8vd3d3LmFmci5jb20vY29tcGFuaWVzL2VuZXJneS9nYXMtcHJpY2UtY2FwLXdvdWxkLXJ1bGUtb3V0LW5hcnJhYnJpLWJlZXRhbG9vLXN0dWR5LTIwMjIxMTAzLXA1YnZnedIBAA?oc=5,"Mon, 07 Nov 2022 08:00:00 GMT",start-up
Australia explores solar from space | KidsNews - Kids News,https://news.google.com/__i/rss/rd/articles/CBMikgFodHRwczovL3d3dy5raWRzbmV3cy5jb20uYXUvc3BhY2UvYXVzdHJhbGlhLWpvaW5zLXVrLXRvLWFzc2Vzcy1pZGVhLW9mLWdlbmVyYXRpbmctc29sYXItcG93ZXItaW4tb3JiaXQvbmV3cy1zdG9yeS81YWM3NTE1MmZmNTNkZDFhMmE2ZTJhZDIwOWZiZDk4ZNIBAA?oc=5,"Tue, 25 Oct 2022 07:00:00 GMT",start-up
$122m in three months: SA crypto company named Australia’s best start-up - Adelaide Advertiser,https://news.google.com/__i/rss/rd/articles/CBMisAFodHRwczovL3d3dy5hZGVsYWlkZW5vdy5jb20uYXUvYnVzaW5lc3Mvc2EtYnVzaW5lc3Mvc2EtY29tcGFueS1iZWhpbmQtbW92ZXRvZWFybi1zdGVwbi1hcHAtdG9wcy10aGUtbGlzdC1vZi1hdXN0cmFsaWFzLWJlc3Qtc3RhcnR1cHMvbmV3cy1zdG9yeS9iMTRjMTNhNzlmNTNhMWE0MWFlOTQzOTU3MzQ5NGUyM9IBAA?oc=5,"Sun, 14 Aug 2022 07:00:00 GMT",start-up
"Pixelforce acquires Svelte Studios, looks to further investment - Adelaide Advertiser",https://news.google.com/__i/rss/rd/articles/CBMimwFodHRwczovL3d3dy5hZGVsYWlkZW5vdy5jb20uYXUvYnVzaW5lc3MvcGl4ZWxmb3JjZS1icmluZ3MtYnJhbmRpbmctYW5kLWRhdGEtYWdlbmN5LXN2ZWx0ZS1zdHVkaW9zLWludG8tdGhlLWZvbGQvbmV3cy1zdG9yeS81OWVlNzMwZmE3YTRiNWYzODI3ODUzOGEwYTZkMzBkNdIBnwFodHRwczovL3d3dy5hZGVsYWlkZW5vdy5jb20uYXUvYnVzaW5lc3MvcGl4ZWxmb3JjZS1icmluZ3MtYnJhbmRpbmctYW5kLWRhdGEtYWdlbmN5LXN2ZWx0ZS1zdHVkaW9zLWludG8tdGhlLWZvbGQvbmV3cy1zdG9yeS81OWVlNzMwZmE3YTRiNWYzODI3ODUzOGEwYTZkMzBkNT9hbXA?oc=5,"Mon, 07 Nov 2022 08:00:00 GMT",start-up
SSTL opens a new office in Adelaide in support of the UK – Australian space partnership – SatNews - SatNews,https://news.google.com/__i/rss/rd/articles/CBMiemh0dHBzOi8vbmV3cy5zYXRuZXdzLmNvbS8yMDIyLzA5LzA1L3NzdGwtb3BlbnMtYS1uZXctb2ZmaWNlLWluLWFkZWxhaWRlLWluLXN1cHBvcnQtb2YtdGhlLXVrLWF1c3RyYWxpYW4tc3BhY2UtcGFydG5lcnNoaXAv0gEA?oc=5,"Tue, 06 Sep 2022 03:18:38 GMT",start-up
142 ‘own to rent’ apartments up for grabs - news.com.au,https://news.google.com/__i/rss/rd/articles/CBMikAFodHRwczovL3d3dy5uZXdzLmNvbS5hdS9maW5hbmNlL3JlYWwtZXN0YXRlL2tlbnNpbmd0b24tZGV2ZWxvcG1lbnQtb2ZmZXJzLTE0Mi1vd24tdG8tcmVudC1hcGFydG1lbnRzL25ld3Mtc3RvcnkvZTk0NGQ4MmYwMjRmMmJiMzFjNmM5YTA4ZjhkY2Q3NDPSAZQBaHR0cHM6Ly93d3cubmV3cy5jb20uYXUvZmluYW5jZS9yZWFsLWVzdGF0ZS9rZW5zaW5ndG9uLWRldmVsb3BtZW50LW9mZmVycy0xNDItb3duLXRvLXJlbnQtYXBhcnRtZW50cy9uZXdzLXN0b3J5L2U5NDRkODJmMDI0ZjJiYjMxYzZjOWEwOGY4ZGNkNzQzP2FtcA?oc=5,"Tue, 15 Nov 2022 18:00:33 GMT",start-up
Meet the nominees for the CEC Board - Clean Energy Council,https://news.google.com/__i/rss/rd/articles/CBMiVGh0dHBzOi8vd3d3LmNsZWFuZW5lcmd5Y291bmNpbC5vcmcuYXUvbmV3cy9tZWV0LXRoZS1ub21pbmVlcy1mb3ItdGhlLWNlYy1ib2FyZC0xLTEtMdIBAA?oc=5,"Wed, 02 Nov 2022 07:00:00 GMT",start-up
"Manager, Research Projects Management job with UNIVERSITY OF SOUTH AUSTRALIA | 315264 - Times Higher Education",https://news.google.com/__i/rss/rd/articles/CBMiYWh0dHBzOi8vd3d3LnRpbWVzaGlnaGVyZWR1Y2F0aW9uLmNvbS91bmlqb2JzL2xpc3RpbmcvMzE1MjY0L21hbmFnZXItcmVzZWFyY2gtcHJvamVjdHMtbWFuYWdlbWVudC_SAQA?oc=5,"Fri, 04 Nov 2022 07:00:00 GMT",start-up
New start-up event to connect innovators - Adelaide Advertiser,https://news.google.com/__i/rss/rd/articles/CBMihQFodHRwczovL3d3dy5hZGVsYWlkZW5vdy5jb20uYXUvYnVzaW5lc3Mvc291dGhzdGFydC1hZWRhLWpvaW4tZm9yY2VzLWZvci1uZXctc3RhcnR1cC1ldmVudC9uZXdzLXN0b3J5L2E4N2RmYThiYzFjMGUxOWIwMTI1ZTA0YWYxZjEwMTY20gEA?oc=5,"Mon, 17 Oct 2022 07:00:00 GMT",start-up
Australia’s top 50 start-ups attracting millions - Daily Telegraph,https://news.google.com/__i/rss/rd/articles/CBMihAFodHRwczovL3d3dy5kYWlseXRlbGVncmFwaC5jb20uYXUvYnVzaW5lc3MvY29tcGFuaWVzL2F1c3RyYWxpYXMtdG9wLTUwLXN0YXJ0dXBzLXJldmVhbGVkL25ld3Mtc3RvcnkvYmY4MmEyNjdiZjMwYzYwMDhhMzg2NDQ2NGY1YzUzZmbSAQA?oc=5,"Sun, 14 Aug 2022 07:00:00 GMT",start-up
Meet South Australia's 40 Under 40 of 2022 - CityMag - CityMag,https://news.google.com/__i/rss/rd/articles/CBMiUmh0dHBzOi8vY2l0eW1hZy5pbmRhaWx5LmNvbS5hdS9jb21tZXJjZS9tZWV0LXNvdXRoLWF1c3RyYWxpYXMtNDAtdW5kZXItNDAtb2YtMjAyMi_SAQA?oc=5,"Fri, 10 Jun 2022 07:00:00 GMT",start-up
New Tech Hub Launched in South Australia - OpenGov Asia,https://news.google.com/__i/rss/rd/articles/CBMiQWh0dHBzOi8vb3BlbmdvdmFzaWEuY29tL25ldy10ZWNoLWh1Yi1sYXVuY2hlZC1pbi1zb3V0aC1hdXN0cmFsaWEv0gEA?oc=5,"Mon, 14 Feb 2022 02:46:42 GMT",start-up
‘Failure’: Dire warning about new industry - news.com.au,https://news.google.com/__i/rss/rd/articles/CBMingFodHRwczovL3d3dy5uZXdzLmNvbS5hdS9maW5hbmNlL2J1c2luZXNzL290aGVyLWluZHVzdHJpZXMvc29iZXItd2FybmluZy1pc3N1ZWQtYWJvdXQtc3RhcnR1cC1pbmR1c3RyeS1pbi1hdXN0cmFsaWEvbmV3cy1zdG9yeS9mNzcxNDc2YzViZDdhOTAxYmU3ZjhlYTM5Mjg0NzdlONIBAA?oc=5,"Fri, 22 Jul 2022 07:00:00 GMT",start-up
