tech,link,title,date_,publisher_,source_type_,business_index_term
start-up,https://www.proquest.com/anznews/docview/2399466626/5C465B1D225B42F9PQ/1021?accountid=14649,Adelaide Preview with GREG SPLETTER,"May 8, 2020",Nationwide News Pty Ltd,Newspaper,
start-up,https://www.proquest.com/anznews/docview/2314582408/5C465B1D225B42F9PQ/1022?accountid=14649,SA’s pitch to energy giant,"Nov 16, 2019",Nationwide News Pty Ltd,Newspaper,
start-up,https://www.proquest.com/anznews/docview/2215864863/5C465B1D225B42F9PQ/1023?accountid=14649,ELECTRIC DREAMS,"Apr 29, 2019",Nationwide News Pty Ltd,Newspaper,
start-up,https://www.proquest.com/anznews/docview/2401301271/5C465B1D225B42F9PQ/1024?accountid=14649,Councillors' wish list to make Adelaide CBD vibrant again after shutdown,"May 13, 2020",Nationwide News Pty Ltd,Newspaper,
start-up,https://www.proquest.com/anznews/docview/2199262568/5C465B1D225B42F9PQ/1025?accountid=14649,"YOU CROW, GIRLS","Mar 30, 2019",Nationwide News Pty Ltd,Newspaper,
start-up,https://www.proquest.com/anznews/docview/2256794582/5C465B1D225B42F9PQ/1026?accountid=14649,"History of how Power, Lions built mammoth AFL rivalry","Jul 13, 2019",Nationwide News Pty Ltd,Newspaper,
start-up,https://www.proquest.com/anznews/docview/2256177277/5C465B1D225B42F9PQ/1027?accountid=14649,"History of how Power, Lions built mammoth AFL rivalry","Jul 13, 2019",Nationwide News Pty Ltd,Newspaper,
start-up,https://www.proquest.com/anznews/docview/2283209914/5C465B1D225B42F9PQ/1028?accountid=14649,At home with... Natasha Malani,"Sep 1, 2019",Nationwide News Pty Ltd,Newspaper,
start-up,https://www.proquest.com/anznews/docview/2305003749/5C465B1D225B42F9PQ/1029?accountid=14649,WRECK AND RUIN?,"Sep 28, 2019",Nationwide News Pty Ltd,Newspaper,
start-up,https://www.proquest.com/anznews/docview/2351666416/5C465B1D225B42F9PQ/1030?accountid=14649,DIARY,"Feb 8, 2020",Nationwide News Pty Ltd,Newspaper,
start-up,https://www.proquest.com/anznews/docview/2313370552/5C465B1D225B42F9PQ/1031?accountid=14649,SA BACK IN BOWLS’ ANSWER TO T20,"Nov 12, 2019",Nationwide News Pty Ltd,Newspaper,
start-up,https://www.proquest.com/anznews/docview/2316805108/5C465B1D225B42F9PQ/1032?accountid=14649,Start me up: experience leads to new challenges,"Nov 24, 2019",Nationwide News Pty Ltd,Newspaper,
start-up,https://www.proquest.com/anznews/docview/2179081325/5C465B1D225B42F9PQ/1033?accountid=14649,Innovation hub at uni,"Feb 14, 2019",Fairfax Media Publications Pty Limited,Newspaper,
