Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,-0.7728443456371044
75% Corpus,2,0.01,0.31,-0.8212733648248802
75% Corpus,2,0.01,0.61,-0.8206887847314854
75% Corpus,2,0.01,0.9099999999999999,-0.8186581660421379
75% Corpus,2,0.01,symmetric,-0.8240134361044964
75% Corpus,2,0.31,0.01,-0.7728443456371044
75% Corpus,2,0.31,0.31,-0.8087902586215636
75% Corpus,2,0.31,0.61,-0.8166935557567745
75% Corpus,2,0.31,0.9099999999999999,-0.8166471086501774
75% Corpus,2,0.31,symmetric,-0.8203053325967977
75% Corpus,2,0.61,0.01,-0.7736110609037905
75% Corpus,2,0.61,0.31,-0.8073246043170699
75% Corpus,2,0.61,0.61,-0.814476437907497
75% Corpus,2,0.61,0.9099999999999999,-0.8386102250974368
75% Corpus,2,0.61,symmetric,-0.8166935557567745
75% Corpus,2,0.9099999999999999,0.01,-0.7736110609037905
75% Corpus,2,0.9099999999999999,0.31,-0.8081993982391846
75% Corpus,2,0.9099999999999999,0.61,-0.8078749581085938
75% Corpus,2,0.9099999999999999,0.9099999999999999,-0.8344600923013263
75% Corpus,2,0.9099999999999999,symmetric,-0.8140622479765722
75% Corpus,2,symmetric,0.01,-0.7736110609037905
75% Corpus,2,symmetric,0.31,-0.8076935095074529
75% Corpus,2,symmetric,0.61,-0.8153618911617635
75% Corpus,2,symmetric,0.9099999999999999,-0.8054542245215004
75% Corpus,2,symmetric,symmetric,-0.8181761034871797
75% Corpus,2,asymmetric,0.01,-0.7689773732554972
75% Corpus,2,asymmetric,0.31,-0.8199326356565801
75% Corpus,2,asymmetric,0.61,-0.8214932930651329
75% Corpus,2,asymmetric,0.9099999999999999,-0.8144650087427154
75% Corpus,2,asymmetric,symmetric,-0.8223957878123073
75% Corpus,3,0.01,0.01,-0.7819315176880904
75% Corpus,3,0.01,0.31,-0.9968370384368225
75% Corpus,3,0.01,0.61,-0.9631872776935374
75% Corpus,3,0.01,0.9099999999999999,-1.0211138981817
75% Corpus,3,0.01,symmetric,-1.0370436673657393
75% Corpus,3,0.31,0.01,-0.80529608778567
75% Corpus,3,0.31,0.31,-1.018849629142691
75% Corpus,3,0.31,0.61,-1.0462088346401102
