Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,-2.1424595634392354
75% Corpus,2,0.01,0.31,-2.4479651244341705
75% Corpus,2,0.01,0.61,-2.322231228856313
75% Corpus,2,0.01,0.9099999999999999,-2.275206878411964
75% Corpus,2,0.01,symmetric,-2.869669908233368
75% Corpus,2,0.31,0.01,-2.1915657957765147
75% Corpus,2,0.31,0.31,-2.865178916235621
75% Corpus,2,0.31,0.61,-2.0730319918297218
75% Corpus,2,0.31,0.9099999999999999,-2.288421428130407
75% Corpus,2,0.31,symmetric,-3.271495234295264
75% Corpus,2,0.61,0.01,-3.741219812012109
75% Corpus,2,0.61,0.31,-3.049781074546237
75% Corpus,2,0.61,0.61,-3.5393338548023903
75% Corpus,2,0.61,0.9099999999999999,-3.7853340553748733
75% Corpus,2,0.61,symmetric,-3.0931897566035302
75% Corpus,2,0.9099999999999999,0.01,-3.020151328779141
75% Corpus,2,0.9099999999999999,0.31,-3.564311463175489
75% Corpus,2,0.9099999999999999,0.61,-2.7617815591333463
75% Corpus,2,0.9099999999999999,0.9099999999999999,-3.0202517603775494
75% Corpus,2,0.9099999999999999,symmetric,-2.989394835721326
75% Corpus,2,symmetric,0.01,-3.6555160254906838
75% Corpus,2,symmetric,0.31,-3.451536641256925
75% Corpus,2,symmetric,0.61,-3.1139471724585173
75% Corpus,2,symmetric,0.9099999999999999,-3.429561536883551
75% Corpus,2,symmetric,symmetric,-3.1087374197973405
75% Corpus,2,asymmetric,0.01,-2.42108075439959
75% Corpus,2,asymmetric,0.31,-2.238567109311947
75% Corpus,2,asymmetric,0.61,-2.2293510775184675
75% Corpus,2,asymmetric,0.9099999999999999,-2.409162746795044
75% Corpus,2,asymmetric,symmetric,-2.2810793692956026
75% Corpus,3,0.01,0.01,-2.637369326508298
75% Corpus,3,0.01,0.31,-2.781952797209889
75% Corpus,3,0.01,0.61,-3.1226065680033828
75% Corpus,3,0.01,0.9099999999999999,-4.508101503916561
75% Corpus,3,0.01,symmetric,-2.962118265375875
75% Corpus,3,0.31,0.01,-2.192195600340905
75% Corpus,3,0.31,0.31,-2.406047625712203
75% Corpus,3,0.31,0.61,-2.5169915189527168
75% Corpus,3,0.31,0.9099999999999999,-2.4299668611345697
75% Corpus,3,0.31,symmetric,-2.6412011077078428
75% Corpus,3,0.61,0.01,-2.686233771768118
75% Corpus,3,0.61,0.31,-2.758893452970458
75% Corpus,3,0.61,0.61,-2.9170207754597204
75% Corpus,3,0.61,0.9099999999999999,-3.855291797546181
75% Corpus,3,0.61,symmetric,-3.4355159950750944
75% Corpus,3,0.9099999999999999,0.01,-2.226306273789172
75% Corpus,3,0.9099999999999999,0.31,-2.947885260590246
75% Corpus,3,0.9099999999999999,0.61,-4.102302670174324
75% Corpus,3,0.9099999999999999,0.9099999999999999,-2.845751992236437
75% Corpus,3,0.9099999999999999,symmetric,-3.2946007688044667
75% Corpus,3,symmetric,0.01,-2.3973589770249752
75% Corpus,3,symmetric,0.31,-2.261708902443519
75% Corpus,3,symmetric,0.61,-2.2478715669636986
