post,reaction_count,repost,company,post_time,date_retrived
"Meet the Team: Jackie Moran is a data scientist at Ping. After graduating with a degree in Physics, they worked in consulting as a Data Analyst for two years before joining Ping's team this year. They say, ""I'm really passionate about climate action and I've really enjoyed the opportunity to work for a company that is contributing to the expansion of renewable energy around the world.""",14,0,Ping,21h,2022-06-07
"Here are a few photos from Matthew Stead's recent visit to the US. He lent a hand repairing the battery box of an in-blade Ping Monitor for a customer, and also got out and about visiting some local sites in Texas.",34,0,Ping,5,2022-06-07
"When our founder Matthew recently visited Sweden, he took a trip to to Markbygden Wind Farm, one of the world's largest onshore wind farms. It was fantastic to see Ping Monitors on site on the other side of the world in a very different setting to our wind farms in Australia",44,0,Ping,2w,2022-06-07
"PING AROUND THE WORLD: The Ping Services HQ is based in Adelaide, South Australia. We have nearly 150 Ping Monitors installed on turbines in Australia. Wind was Australia's leading source of clean energy in 2020, supplying 35.9 per cent of the country's clean energy and 9.9 per cent of Australia's overall electricity. (Clean Energy Council). In March the green light was given for a new A 1-gigawatt wind farm in Queensland that will be the biggest in Australia when completed - we're excited to see how the country is embracing renewable energy and on the path to a greener future.#renewablesAustralia #renewableenergy #windturbines #greenenergyAustralia Photo by Harry Cunningham on Unsplash",25,0,Ping,1w,2022-06-07
"Last week, our founder Matthew Stead attended the Clean Power 2022  conference from American Clean Power Association (ACP) in San Antonio, Texas. He was joined by Curtis Larson and Angela Krcmar, who have just joined Ping to drive sales in the US. The conference was huge, with nearly 400 exhibitors and 6,000 delegates - a great opportunity to make connections amongst others who are building a future of clean energy.#pingmonitor #cleanpower2022 #cleanenergyeconomy #cleanenergyfuture #renewableenergy",52,0,Ping,1w,2022-06-07
When our founder Matthew Stead was in the US last week for Clean Power 2022 he was interviewed live for the UpTime Wind Energy Podcast from Weather Guard Lightning Tech. It was great to talk in person to Allen Hall You can watch it here:https://lnkd.in/evFmSB9u,7,0,Ping,1w,2022-06-07
"We were recently approached by Google Cloud to share our story for its 'Let's Get Solving' series, which chronicles businesses using the technology to solve challenges. We use Google Cloud to help wind farm operators reduce wind turbine blade costs. We do this by continuously listening for blade changes. Once a change is alerted, proactive action is taken to repair blade damage early when it is smaller and more cost-effective to repair.https://lnkd.in/eih-fKsh",34,0,Ping,1mo,2022-06-07
"MEET THE TEAM: Tuan works as a Software Engineer at Ping. He assists the team in software development, code maintenance, data analysis and is partly involved in algorithms design and testing. He says, ""The most enjoyable aspect of Ping is the fact that everyone is very supportive and encouraging"". Tuan lives in Adelaide and in his spare time enjoys playing tennis or going to the gym after-work to stay mentally and physically healthy.",56,0,Ping,3w,2022-06-07
"Our founder Matthew Stead is just back from Europe but off again on his travels to the USA to attend Clean Power 2022 from American Clean Power Association (ACP), taking place next week in San Antonio, Texas. We're sharing a stand with our friends at Weather Guard Lightning Tech so do come and say hi if you're attending! Details here:https://lnkd.in/etaFQAC",19,0,Ping,3w,2022-06-07
Thanks to Google Cloud for sharing the story of how we use its technology to detect damage to turbine blades through real-time continuous monitoring of blade acoustics. You can read more here: https://lnkd.in/eVY8GfKn,12,0,Ping,3w,2022-06-07
