company,post_time,date_retrived,post,reaction_count,repost
Accede,2mo,2022-06-06,"As a South Australian owned and operated company, we have been working closely with the Queen Elizabeth Hospital responsible for their kitchen systems for 27 years and during that time have developed the most innovative specialised healthcare catering system called HospSuite. HospSuite is a ‘suite of tools’, consisting of ‘HospCater’, which is designed for tracking nutritional requirements including allergens, ordering and stock control, yields, profitability plus more and ‘HospMenu’ a menu ordering system which is designed to plug into patient entertainment systems. We are also working on adding ‘HEN’ Home Enteral Nutrition Services to our suite. I invite you to browse our comprehensive www.hospsuite.com",2,0
Accede,3mo,2022-06-06,"Revolutionised Hospital Nutrition System Software is here:Automating Nutritional Handling, Menu Management, Kitchen Administration and Hospital FoodGet in touch with me to learn more #software #management #administration #food #hospital #nutrition",3,0
Accede,1mo,2022-06-06,Wishing all our clients and everyone a very happy and safe Easter.Here’s one for the Dads and their kiddies:Q.  What does the Easter Bunny say when it does a burp?A.  Eggs.cuse me! 😂😂,3,0
Accede,2mo,2022-06-06,Meet our duo Twin Junior Developers Nic & Jon welcome to the team boys 👏🏻👏🏻,2,0
Accede,3mo,2022-06-06,"Imagine having software that can fully customise your patients food menu whether it be cow’s milk, eggs, peanuts, shellfish, fish, soy or wheat. Food allergies are caused by your immune system. This can cause potentially life-threatening reactions, and the only treatment is the removal of the food from your diet.We are working on a solution to streamline that! #software #food #hospitals #agedcare",1,0
Accede,4mo,2022-06-06,Are you having difficulty in keeping up with your on line orders? We can help you automate them taking out the middle man and human error.,2,0
Accede,4mo,2022-06-06,"Do you have questions on how to optimise your systems?Send me a message, ask me how? #accedeholdings",2,0
Accede,5mo,2022-06-06,We wish you a very Merry Christmas to you and your loved ones and wish the new year brings health & happiness. It is our last day today and back 10th January 2022 to help you with your business systems. #business #health #help #happiness #accede #fsmmap #programmers,0,0
Adaptivews,8mo,2022-06-06,"Tomorrow the 14th October is Allied Health Professions Day. Did you know that there are more than 200,000 Allied Health Professionals in Australia which makes up more than one third of the total Health Workforce? This encompasses a vast range of roles including Rehabilitation Counsellor, Psychologist and Physiotherapist - just in our team alone! Together people in Allied Health in Australia provide more than 200 million health services annually. See the website to find out how you can get involved. https://lnkd.in/gww4kwmJ #AHPsDay #AHPsDay2021 #strongertogether #alliedhealth",0,0
Adaptivews,8mo,2022-06-06,Our AWS Team is participating in One Foot Forward for the month of October with each team member aiming to walk 60km this month. This is a initiative by the Black Dog Institute to raise awareness and funding for essential mental health research and support services. Today we went for a team walk out to lunch and back to also celebrate Allied Health Professions Day. To check on our progress or to donate to the cause click on: https://lnkd.in/gGxMFT5i #mentalhealth #health #onefootforward #AHPsday2021 #AHPsDay #strongertogether,2,0
Adaptivews,8mo,2022-06-06,Happy Allied Health Professions Day to all those who work in these varied and diverse roles! #AHPsDay2021 #strongertogether,0,0
Add-Life Technologies,3w,2022-06-06,Excited to have a morning chat with a bunch of future and current leaders in SA with a little catch up from Business SA. It's collaboration and support that will ultimately allow us all to succeed together,1,0
Add-Life Technologies,4mo,2022-06-06,"Today at our Advisory Board team Andrew Buttery David McGown Leesa Chesser met at our Stone & Chalk home in Lot Fourteen to review our latest product advancements. David McGown trialed some of the new menus that Julian, Jai and our Founder Daish Malani  have been progressing over the summer. #digitalhealthcare #virtualreality #rehabilitation",2,0
Add-Life Technologies,7mo,2022-06-06,On Friday the Add Life Technologies team welcomed Occupational therapist Megan Leaney to chat with the advisory team on data and product development. Founder Daish Malani and advisor Andrew Buttery watched on whilst Megan and advisor Leesa Chesser examined the latest version of our product.,2,0
AICraft,2h,2022-06-06,"Last Friday, AICRAFT’s CEO Dr Tony Scoleri attended the seminar on ‘Human-Robot AI interaction for #health and #space applications’ given by distinguished speaker Dr Alessio Del Bue from the Istituto Italiano di Tecnologia. This was an amazing #demonstration of how #robots can work alongside people and do tasks such as lifting or pulling heavy items, climbing steep slopes and getting into hazardous environments as encountered on the lunar surface. There were also applications of #AI in medicine to help clinicians with rapid patient diagnosis. So many exciting work areas that the #technology at AICRAFT can contribute to.Thank you to SmartSat CRC and ARIA - Association of Italian Researchers in Australasia for organising this event. The post-seminar refreshments and discussions were a great way to end the week.Nicola Sasanelli AM Adriano Stendardo Anton van den Hengel, FTSE #artificialintelligence #ai #disruptivetechnologies #technology #edgecomputing",6,0
AICraft,3,2022-06-06,"Great time today hosting Dr Alessio Del Bue from the Pattern Analysis and Computer Vision (PAVIS) at the Istituto Italiano di Tecnologia and Adj. Prof. Nicola Sasanelli AM from the The Andy Thomas Space Foundation and SmartSat CRC. Alessio is leading the Visual Geometry Lab and their #research in functional analysis of #neuralnetworks, automatic #3D reconstruction and sensor/target localisation for #robotic and #medical applications. AICRAFT's staff gave a live demo of the #smart prototype camera connected to the #edgecomputing development board. The company has been receiving a lot of interest in the upcoming edge computing hub that the team is currently finalising, purposely built for easy integration with robotic and #autonomous systems.#ai #artificialintelligence #disruptivetechnologies #computing",13,0
AICraft,4,2022-06-06,"Big thank you to MySec.TV and Chris Cubbage for a great conversation with our CEO Dr Tony Scoleri about #Pulsar, our new #edgecomputing device for #space. Using powerful purpose-built #electronics that best support a variety of #ai models, Pulsar processes data 5-10 times faster for much less power than current solutions on orbit. We’re talking 0.5TB in less than 10 minutes!Pulsar is particularly helpful for #nanosatellite and #CubeSat providers aiming for low earth orbit missions and requiring a compact module that can tackle multi-sensor #bigdata volumes at low power consumption. We offer the opportunity to test your code in space in our upcoming space tech demonstrator in Q3 2022 with @Antaris Space Inc. Drop us a line to find out more hello@aicraft.com.au.If you are interested in this technology for #autonomous systems, we will have great news for you soon. Watch this space!#space #edgecomputing #disruptivetechnologies #technology #ai #artificialintelligence #machinelearning #spacetechnology https://lnkd.in/dDE23MSk",11,0
AICraft,1mo,2022-06-06,Today our CEO Dr Tony Scoleri visited GPC Electronics facility in Sydney and met with Managing Director Christopher Janssen. Impressive in-house #capability handling from large to tiny components that you can barely see with your eyes. Simply iconic facility providing services in electronics design and manufacturing. We look forward to having AICRAFT’s #edgecomputing module manufactured at GPC. Thank you to the GPC team for their time and hosting us.#ai #artificialintelligence #edgecomputing #space #electronics #technology #disruptivetechnologies #manufacturing,80,0
AICraft,3w,2022-06-06,"The CEO of AICRAFT Dr Tony Scoleri is attending the INDO PACIFIC International Maritime Exposition in Sydney on 10-12 May 2022. This is a global event that brings together companies and organisations from over 40 countries. The exposition focuses on technologies and applications for #maritime and #defence industry, #military and #government. Tony will speak with key exhibitors to discuss how the high-speed, low-power edge computing technology developed at AICRAFT can enhance existing systems. #collaboration #AI #artificialintelligence #disruptivetechnologies Defence SA #edgecomputing #technology",9,0
AICraft,2w,2022-06-06,"Fresh off from INDO PACIFIC International Maritime Exposition, Dr Tony Scoleri has welcomed in our premises Senior Adviser - Space Daniel O'Toole from the Australian Trade and Investment Commission (Austrade). After demonstrating some of AICRAFT’s #technology, the discussions revolved around export markets where the unique #edgecomputing products of the company have a strong #commercial potential. The company is planning both industrial and space-qualified versions of the products which helps meeting customer demand.#AI #artificialintelligence #disruptivetechnologies #edgecomputing #highspeedlowpower #highspeed #lowpower Defence SA",16,0
AICraft,3w,2022-06-06,"Our Edge Computing Module provides #computing support for #satellites, #drones, #robots, surface and underwater #vehicles. We build custom-made boards to suit the client's system and applications.Interested to know more, contact us at hello@aicraft.com.au.#edgecomputing #ai #artificialintelligence #disruptivetechnologies #innovation #space #maritime #dronetechnology #robotics",11,0
AICraft,1mo,2022-06-06,"AICRAFT has a strong relationship with UNSW, including UNSW Biological, Earth and Environmental Sciences. During his trip to Sydney, our CEO Dr Tony Scoleri is meeting with our academic partner to discuss programs to protect civilians and Australian Defence Force personnel against #chemical, #biological, #radiological and #nuclear (CBRN) threats. This is one of the major national Science, Technology and Research (STaR shot) programs in line with the Australian Government and Defence Science and Technology (DST) priorities.#collaboration #AI #artificialintelligence #disruptivetechnologies #edgecomputing NSW Smart Sensing Network #technology",5,0
AICraft,3mo,2022-06-06,One sleep until The Andy Thomas Space Foundation’s Australian Space Forum #AUSspaceforum We look forward to seeing you tomorrow!,2,0
