post,reaction_count,repost_text,repost,company,post_time,date_retrived
"Are you an #SMB or #SME struggling with inflation?Read this post below from Ryan Williams, Playford Chair of the Australian Centre for Business Growth, who has 20 years of leadership experience as a strategist and #entrepreneur.🖐 Click for 5 Expert Tips to Mitigate Inflation on SmartCompany 👇 https://lnkd.in/gv9aYK9V#leadership",2,"The price of energy, supplies and rent is increasing thanks to inflation, and now rising interest rates are starting to squeeze. So, how can small business owners maintain profit margins?There are five key ways entrepreneurs can mitigate the effects of rising inflation, says Ryan Williams, Playford Professor of Business Growth at the Australian Centre for Business Growth. He outlines them in an article for SmartCompany:💰  Renegotiate contracts to reduce costs.💰  Consider alternate pricing strategies to help cover your costs.💰  Rethink how you manage wage increases for staff.💰  Identify your 'milk and bread' products and use them to stimulate sales of more profitable products or services.💰  Identify opportunities to diversify your supply chain.What are your top tips to keep afloat amid challenging economic conditions? Share your tips with others in the comments below.",1,Kicker Communications,3w,2022-06-07
"Congrats on becoming the world's #first accredited #lamb IMF measurement device MEQ Probe! 🐑  Approved by AUS-MEAT earlier last week, the game changing device enables processors to accurately hot measure the intramuscular fat (IMF) levels in lamb meat at line speed. MEQ Probe CEO Remo Carbone says it’s a “certifiable measurement [that] provides opportunities across the entire lamb supply chain, from growers and producers to retailers - enabling them to deliver on their brand promises”.Read more in The Land on how this #Agtech is leading the way 👇 https://lnkd.in/dHqJ9EFZ",3,"From ideation to accreditation in only 5 years! MEQ Probe is now officially the first and only in the world to be accredited by an industry body for its IMF measurement capabilities on hot lamb carcasses. We have had help from several people and organisations over the years and it is greatly appreciated. Our R+D partners, Australian Meat Processor Corporation, ALMTech, Meat & Livestock Australia, Investors and most importantly the team. Thank you to AMILSC for granting our accreditation. This represents a huge leap forward for red meat and shows that Australia is rightly at the global forefront of IMF grading.  #redmeat #agtech #lamb #beef https://lnkd.in/dHqJ9EFZ",1,Kicker Communications,7mo,2022-06-07
Congratulations to Go1 on its Business News Australia Pty Ltd Brisbane Young Entrepreneur of the Year 2021 win! 🥇 Another excellent feat for the Aussie unicorn as the company continues to expand its digital learning and professional development resources. Read more on the award 👇  https://lnkd.in/gPb_TCGK#Go1Andrew Barnes Chris Eigeland Vu Tran Chris Hood,6,"A big Congratulations to our co-founders for winning Business News Australia Pty Ltd Brisbane Young Entrepreneur of the Year Award 2021 🎉 In phenomenal company of finalists (see below), we thank Camilla Jansen and Business News Australia Pty Ltd for the opportunity.📣When asked what it's like to be scaling a global operation like Go1, our CEO Andrew Barnes says he is excited by reaching more people and having more resources to utilise as a result of the company's capital raises.""That’s incredibly exciting, it’s very humbling,"" he says.📣Andrew Barnes Chris Eigeland Vu Tran Chris Hood",1,Kicker Communications,8mo,2022-06-07
From Neuroimmunopharmacology to meat grading using spectral analysis! A fantastic piece from Jacob Thomas at MEQ Probe about his journey from the world of academia to cutting-edge startup tech Startup Daily. #innovation #tech #startup,4,"More than four in five startup founders in Australia are university graduates. Many of these university graduates, faculty, and alumni have made a seamless transition from academia to working in the business world and industry. Here are a few tips for making the transition ⤵#startupstrategies #founders #startup #innovation #australia #entrepreneurship #education #university #business #mba #funding #entrepreneurs #startups #venturecapital #startupaus",1,Kicker Communications,10mo,2022-06-07
none,1,"Thanks to Inside Retail Australia for sharing my thoughts on why raw food nutritional labelling will be the next step for grocers and supermarkets. The demand for raw food labelling is being driven by consumers. People increasingly expect information on food provenance to make more conscious purchasing decisions. Movements such as slow food, Fair Trade and growing awareness of the social and environmental impact of food production are making consumers care about how the food on their table was produced. The industry needs to get ahead of this consumer-driven trend and work to get labels on fresh food products so that consumers can make more informed purchasing decisions.https://lnkd.in/eac_bGga#food #retail #freshproduce #innovation #education",1,Kicker Communications,10mo,2022-06-07
"Great piece from New Relic, Inc.'s Ben Goodman in the Bangkok Post talking about the role that observability plays in delivering outstanding customer service.",3,"Navigating rapid digital customer growth is challenging for any organisation. For banks and financial services companies, ensuring a seamless experience from front-end to back-end is critical. In this article for the Bangkok Post, Ben Goodman explains how financial institutions like Bangkok Bank are employing observability as their secret weapon to deliver exceptional customer experiences. #observability #NewRelic",1,Kicker Communications,10mo,2022-06-07
"Congratulations to Go1 on the US$200m Series D raise led by SoftBank Vision Fund 2, AirTree, Salesforce Ventures + Blue Cloud Ventures, Larsen Ventures, Scott Shleifer and John Curtius from Tiger Global, TEN13, M12 - Microsoft's Venture Fund, Madrona Venture Group, SEEK, and Y Combinator",9,"'Go1 a Brisbane-based online corporate training marketplace founded by four former high school friends in 2015, has closed one of the biggest ever local funding rounds, raising $US200 million ($278 million) in a deal that values it as a so-called ‘unicorn’ at greater than $US1 billion.'#edtech #unicorn #onlinelearning",1,Kicker Communications,11mo,2022-06-07
Pureprofile's Martin Filz spoke to Mumbrella about the business' strong recent growth and industry partnerships.,1,"This week on Mumbrellacast: Seven West Media releases a trading update while Network 10 hosts a virtual upfront, Isentia is set to be acquired by Access Intelligence, REA Group diversifies again with the purchase of software company Simpology Australia and an interview with Pureprofile CEO Martin Filz.https://lnkd.in/dgMMKA5",1,Kicker Communications,1yr,2022-06-07
Great to see MEQ Probe sharing their valuable industry perspective on the Australian and UK free trade deal agreement with The Land! #agtech,1,It was great to speak with The Land about how Australia's new free trade deal with the UK is likely to boost agtech investment. It's an exciting time for all of us in the red meat industry. MEQ Probe is eager to help drive technology adoption and objective data to ensure the industry captures as much value as possible. #agtech #data #technology #freetradeagreement,1,Kicker Communications,1yr,2022-06-07
"A great piece from Jennifer Dudley-Nicholson featuring Go1, looking at how the pandemic has accelerated the rise of Australian startups.",2,"Australian garages are hosting more multimillion-dollar startups than you might think, in an Apple/Amazon/Disney kind of way.This is how some of them got started and are winning investments and attention in Silicon Valley, from Xplor Education and Airwallex to Go1 and WeMoney. Fun fact: the founder behind one of these companies created it after leaving the army to help out his Mum. There's a lesson in that for everyone, kids! #startupstories #startups #entrepreneurs # #investments",1,Kicker Communications,1yr,2022-06-07
