company,post_time,date_retrived,post,reaction_count,repost_text,repost
Add-Life Technologies,2mo,2022-06-06,Glad to see Australian healthcare embracing AI and Telehealth to address stroke diagnosis and recovery. At #addlifetech we are hoping these technologies can help at every stage of the recovery process. #virtualreality #rehabilitation #digitaljourney,1,"In NSW about 18,000 people present with stroke symptoms each year. Typically a CT scan is required.There are 2 types of strokes - those caused by bleeds and those caused by clots.Treatment for clots usually means drugs. Quick administration can save lives/reduce severity of impact.However the challenge is diagnosis. There are only a handful of highly skilled people  - that can read the CT scan and tell the difference between clot/bleed and determine how much of the brain is recoverable.Telestroke enables the emergency physician to obtain urgent 24/7 advice to ascertain the type of stroke and the best treatment.Unsurprisingly - AI is also used to assist the specialists ascertain which parts of the brain are recoverable.🔹 Since it started, 360 - is the number of lives saved/enhanced as a result of Telestroke 🙏Telehealth and virtual healthcare is an area that shows so much promise - to improve quality of life and reduce suffering 🙏#digital #healthcare #digitaljourney",1
Add-Life Technologies,3mo,2022-06-06,Excited to be furthering innovation at Lot Fourteen here in the hear of Adelaide. This year is going to be massive for +Life •Add Life Technologies• - very excited for the future,0,"With innovation and creation around every corner, Lot Fourteen is always buzzing with incredible businesses and great minds.Our innovation district is home to a range of companies and start-ups of all shapes and sizes. Find out more about who’s based here via our online directory!https://lnkd.in/gJuezyJ#LotFourteen #StartUp #LocalBusiness #GlobalBusiness #Collaboration +Life •Add Life Technologies• Daish Malani #VirtualReality",1
Add-Life Technologies,4mo,2022-06-06,Amazing the advances in digital twin simulations. Cant wait until we can peer inside a brain in real time to see what areas are firing and design a perfect rehabilitation plan for everyone,0,"This new particle accelerator allows incredibly detailed views of entire organs.Called HiP-CT (Hierarchical Phase-Contrast Tomography), the technology allows whole organs to be imaged down to a resolution of 1 micron(Thats 100 times the resolution of a conventional CT scan!)Check  the comments below for more information in this cutting edge new imaging technique And to learn more about emerging medical technologies like this, just follow RIIot HealthMassive thanks to Charles Carter ❇ for originally sharing this groundbreaking technology to LinkedIn#radiology #medicaltechnology #healthcareinnovation",1
Add-Life Technologies,9mo,2022-06-06,"This puts everything in perspective. We are so close to in home care using this same technology, that will amaze and entertain those who have lost the chance to experience the world as they originally expected, and give them chance to reclaim that right",1,"#ThrowbackThursday #TT#Virtuality is a line of #VirtualReality gaming machines made by Virtuality Group for arcades in 1991. Powered by an #Amiga3000 the $65,000 units featured 276x372 per eye resolution at 20 FPS with magnetic head tracking.https://lnkd.in/eMYfcFMW) #VR #gaming",1
AICraft,2w,2022-06-06,"#Cyber security must be built into products for best resilience to modern cyber threats. This is certainly how we approach it at AICRAFT. Our CEO, Dr Tony Scoleri, had the fantastic opportunity to attend a business lunch yesterday and hear discussions on the topic. Most importantly he connected with like-minded people that want to make a difference in this space.#cybersecurity #ai #artificialintelligence #edgecomputing",4,"It was a great privilege to hear the panel discussions of high US and Australian dignitaries on space and cyber, the current and emerging threats, risks but also opportunities to act and prepare ourselves better now and into the future. It was a great opportunity to network and make new introductions that I’m hoping will help consolidating the efforts in this space as we develop relationships.I would like to sincerely thank the team at KPMG Australia for the invitation to be part of such a fantastic event.#cybersecurity #cyberthreats #highspeedlowpower #AI #artificialintelligence #disruptivetechnologies #edgecomputing Hon Jeffrey Bleich,  Hon Susan Close,  Kathleen Lively, Lynn McDonald, Sanjay Mazumdar, Rasa Buckley, April Palmerlee 🇺🇸🇦🇺 AmCham Australia AmCham South Australia Stephanie Wan, PMP Nicola Frazer",1
AICraft,3mo,2022-06-06,SmartSat CRC Aurora Space Cluster Chair Dr Tim Parsons talked to ausbiz TV about our new #collaboration with another #AuroraSpaceCluster #startup Antaris Inc.  Watch from 35m:12sec.#spacetech #space #startup,1,We are on TV! Watch from the 35th min (last 7mins of the video). Aurora Space cluster chair Tim Parsons on Ausbiz TV talking about Antaris and AICRAFT on the sidelines of the 13th Australian Space Forum in Adelaide. Thank you Tim for the shout out! #softwaredefinedsatellite #opensourcesoftware #saasplatform #collaboratetoinnovate,1
AICraft,3mo,2022-06-06,"Exciting news!Speaking at the signing of the MOU, co-founder of Antaris Inc, Shankar Sivaprakasam, said “We are excited about working with AICRAFT to #spacequalify their #edgecomputing module and add it to the pool of resources for customers using the Antaris Software-as-a-Service (SaaS) platform for next-gen satellite systems. Our software-defined satellite platform is a means to broaden the space ecosystem by creating a trusted marketplace of qualified space-rated software and hardware components, a key goal for us.” “We are thrilled to start our #collaboration with Antaris and demonstrate our #innovative AI edge computing module on orbit”, said Dr Tony Scoleri, co-founder and CEO of AICRAFT. “This will include testing the execution of a large variety of AI models and input data formats (imagery, signals, Lidar point clouds) and we would like to thank Shankar and the whole Antaris founding team for the opportunity to accelerate our company’s entry into the global space marketplace. A special thank you also to Dr Tim Parsons, Aurora Space Cluster Chair, and the whole SmartSat CRC team, for helping to bring Antaris and AICRAFT together and supporting Australian space start-ups.” Commenting on the partnership announcement, Aurora Space Cluster Board Chair, Dr Tim Parsons, said “This collaboration between Antaris and AICRAFT is exactly what #AuroraSpaceCluster aimed to achieve within the Australian space #startup community - providing a framework for start-ups to grow together in commercial collaborations with one another, to win business, commercialise leap-frog R&D, lift TRL to space-qualified, and build world-class commercial capabilities.“#AUSpaceForum Antaris Inc",68,"Congratulations to Aurora Space Cluster start-ups AICRAFT and Antaris Inc on signing a Memorandum of Understanding (MoU) at the 13th #AUSpaceForum to test new Artificial Intelligence and Machine Learning models in space. 🙌🚀The agreement states that AICRAFT will provide a space-computing module as a part of the payload for Antaris’ three-year demonstrator mission launching to Low Earth Orbit in Q3 2022.The news marks the first MoU to come out of the SmartSat CRC backed Aurora Space Cluster, a hub for connecting Australian space industry start-ups.#SpaceIndustry #SpaceForum #SpaceTechnology #MoU #MachineLearning #ArtificialIntelligence #AI #ML",1
AICraft,4mo,2022-06-06,"Join the Ai Group Centre for Education and Training's webinar 'The backbone of the economy: #skills outlook and challenges for 2022' to hear from AICRAFT's CEO Dr Tony Scoleri, BAE Systems Australia's Enterprise Resourcing Lead Cathy Riach, and Hyne Timber's General Manager – People and Culture Alison Newman, about Australia's biggest #skill #challenges for 2022, how these three companies are going to address their own challenges and what actions are required to undertaken in the skill ecosystem. #training #people #skills #economy #skillecosystem #skillshortage #recruitment #recruitmentstrategy #workforce #workforcedevelopment #team #australia",3,"Join the Ai Group Centre for Education and Training's first webinar for 2022 to hear Megan Lilly,  Executive Director of the Centre, question three Australian business leaders:- What do they see as Australia’s biggest skill challenges for 2022?- What will they be doing to address their own challenges? and- What do they believe requires both urgent and longer-term action by those in the skill eco-system: government, education and training providers, industry and individuals?Our guests include:Cathy Riach, Enterprise Resourcing Lead, BAE Systems AustraliaAlison Newman, General Manager – People and Culture, Hyne TimberDr Tony Scoleri, Chief Executive Officer, AICRAFTClick the link below to register for the webinar: Thursday Feb 10, 11am AEST",1
AICraft,5mo,2022-06-06,"Last month our CEO Dr Tony Scoleri met with the director of the Queensland Defence Science Alliance (QDSA), Dr Jeremy Anderson, and other members of his office to discuss technological advances at AICRAFT and how to deliver new capability to the ADF. The company is committed to designing its own #AI solutions to bring new levels of efficiency and performance in tailored systems rather than purchasing off-the-self products that perform AI at the edge ineffectively or intermittently. ""The engagement with QDSA is an important contributor to driving innovation and #growth in the #Defence and #space industry in Australia and delivering novel capability to the forces,"" commented Dr Scoleri.#QDSA Queensland Defence Science Alliance #innovation #ai #artificialintelligence",4,"QDSA has wrapped up the year, with the final months being a hive of activity! In our November recap, learn more about:  ·        7th Brigade Innovation Board sitting·        OCE STaR Shot Deep Dive Workshop·        AIDN Qld Annual Gala Dinner·        Griffith University, Nathan Campus, Site Visit·        Black Sky Aerospace Visit·        And more! Read the full article here: https://lnkd.in/g4ab2KNbWe’d also like to acknowledge the contributions of individuals, companies, institutes and associations that continue to support the growth of QDSA:  Defence Science and Technology (DST)Griffith UniversityJames Cook UniversityQUT (Queensland University of Technology)Australian Industry & Defence Network (AIDN) QLDCarl QuartermanELEXON ELECTRONICSAI HubALIDCAICRAFTQCIFBlack Sky AerospaceBlake NikolicAustralian Missile CorporationDefence Jobs AustraliaDavid LynchBITSCoreTamanna Monem",1
AICraft,9mo,2022-06-06,"We are absolutely delighted to join the Aurora Space Cluster and looking forward to collaborating with other Aurora members and SmartSat CRC, contributing to the Australian space innovation ecosystem.#space #SmartSatCRC SmartSat CRC AICRAFT #innovation #AuroraSpaceCluster #aerospace #defence #collaboration #ai https://lnkd.in/gKqhfK5gwww.aicraft.com.au",3,"AURORA MEMBER PROFILE: Welcome to inaugural Aurora Member AICRAFT.AICRAFT is a South Australian company specialising in the design of smart sensors and systems that perform Artificial Intelligence (AI) at the edge. The company focuses on the optimisation of AI models and development of hardware accelerators customisable to different embedded system architectures. This offers maximum power efficiency, performance and versatility in applications, handling both imagery and signal data agnostically, with scalability from edge devices to cloud computing support. The team at AICRAFT is currently developing a range of software and products that integrate AI at the edge in novel cameras, Internet-of-Things (IoT) devices, gateways, spectrum analysers and drone/satellite payloads. #AICRAFT #AuroraSpaceCluster #Space #aerospace #defence www.auroraspacecluster.com",1
AICraft,10mo,2022-06-06,"We are excited to announce our affiliation with the Aurora Space Cluster and recognise this fantastic initiative of the SmartSat CRC to include startups in the growing #collaborative network to develop the Australian space sector.Quoting Dr Tim Parsons, Inaugural Chair Aurora Space Cluster, said, “We need to help our space #startups grow faster, in technical readiness level, in capability to execute, and commercial acumen.”AICRAFT’s CEO Dr Tony Scoleri commented, “We are looking forward to connecting with academic and industry members of the Aurora Space Cluster and SmartSat CRC to contribute to novel, home-grown products for Earth Observation and Space Domain Awareness. We have recently recruited both senior and junior staff to support our technological developments in South Australia and with Australian partners in this area. The time is now and the place is here!”#innovation #smartsatcrc #australianspace South Australian Space Industry Centre #AustralianSpaceAgency #defencesa #space #startups #AuroraSpaceCluster #development #collaboration #ai #entrepreneurship #spacedomainawareness #spacedomain",7,"THANK YOU: We would like to acknowledge our inaugural Aurora Space Cluster Members who assisted us greatly with the testing and development of our new online Aurora Membership process and Aurora Member Portal.  Big thanks to Tony Scoleri - AICRAFT, Brian Lim - Dandelions, Damith Abeywardana - Infinity Avionics, Vincent Lachance - Lux Aerobot, Steve Milanoski - Romar Engineering Pty Ltd and Patrick Wang - Space Ops Australia #thankyou #AICRAFT #Dandelions #InfinityAvionics #LuxAerobot #RomarEngineering #SpaceOpsAustralia #innovation #development #AuroraSpaceCluster www.auroraspacecluster.com",1
Andy Thomas Space Foundation,7mo,2022-06-06,Last week we were delighted to hold a showcase day for the schools who participated in Program 6 of our Education Fund. In partnership with Makers Empire we were able to bring 3D printers to nine primary schools across South Australia and support teachers in upskilling their design teaching. Thank you to everyone that attended on the day 🚀,4,"Congratulations to Streaky Bay Area School who have won the inaugural Maker’s Empire and Andy Thomas Space Foundation Award for inventing a space vacuum. It’s fantastic to see our next generation laying strong foundations in a sector that’s taking off 🚀Well done to the nine schools from across South Australia that got involved - looking forward to the program reaching even more students next year.The Andy Thomas Space Foundation , Stone & Chalk , Makers Empire",1
Andy Thomas Space Foundation,8mo,2022-06-06,We celebrated World Space Week with Electro Optic Systems Pty Limited and all of our successful award recipients from both the EOS Space Systems Research Awards and the The Andy Thomas Space Foundation Graduate in Space Awards. The passion and drive displayed by all recipients is truly inspiring and we look forward to their contributions to the space sector in the coming years!https://lnkd.in/gFvX47KQ,5,"We continue our celebration of World Space Week with the announcement of the winners of the The Andy Thomas Space Foundation, EOS Space Systems Research Awards.Thanks Bella Richards for covering the story in Space Connect, giving extra insight into the individual research projects.   EOS has long been committed to developing the next generation of space scientists and engineers to ensure the success and sustainability of the space industry in Australia. These awards are just one way that we try to promote excellence and inclusiveness in STEM studies.Read the full story here: https://lnkd.in/gy9TUdqC#EOS #wsw Momentum Media #STEM #Space #engineering #research Lauren Fell, Sabrina Slimani, Skevos Karpathakis Joshua Critchley-Marrows",1
Andy Thomas Space Foundation,9mo,2022-06-06,none,6,"Talking Remote Operations for Space and Earth - our favourite subject - at the 12th Australian Space Forum in Adelaide.  AROSE was thrilled to be able to have an ‘in-person’ contingent attend.From a booth at the exhibition to CEO Leanne Cunnold joining a panel discussion about On- and off- Earth Remote Operations for human exploration and applications on Earth.It was great to see so many of our member organisations represented on the panel, and throughout the forum too. Thank you to The Andy Thomas Space Foundation for an excellent event.#AROSE #ausspaceforum #remoteoperations",1
Andy Thomas Space Foundation,9mo,2022-06-06,none,11,"This time last week Saber was in attendance at the Australian Space Forum hosted by The Andy Thomas Space Foundation. As usual, we were so excited to be in attendance, our space operators had a blast meeting everyone to chat #space. We stocked up on swag so everyone could get their hands on some accessories. If you missed out, keep an eye on our socials to find out where we'll be heading next.So excited for the next event!",1
Andy Thomas Space Foundation,9mo,2022-06-06,Thank you so much for your support! #Auspaceforum,3,"As a proud sponsor of The Andy Thomas Space Foundation 12th Australian Space Forum, AMDA Foundation is here to talk about how the AVALON 2023 Australian International Airshow will provide a promotional platform for Australian space companies to engage with local and overseas customers, partners and suppliers.Set for 28 February to 5 March 2023, AVALON 2023 will bring the Australian aviation, aerospace, space and defence community together. Find out more at www.airshow.com.au",1
